naics6,naics6_title,weighted_auto_output,weighted_total_output,auto_share_of_output
423820,Farm and Garden Machinery and Equipment Merchant Wholesalers,1912383012.7671633,17756702167.95624,0.1076992222248482
423830,Industrial Machinery and Equipment Merchant Wholesalers,7854430231.007992,72929312475.53458,0.10769922222484819
423840,Industrial Supplies Merchant Wholesalers,4097963598.7867785,38050076074.19195,0.1076992222248482
423850,Service Establishment Equipment and Supplies Merchant Wholesalers,2800275125.837632,26000885317.3645,0.10769922222484822
423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,2048981799.3933892,19025038037.095974,0.1076992222248482
423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers,1559496452.3076913,37328314197.313065,0.04177784306208893
423920,Toy and Hobby Goods and Supplies Merchant Wholesalers,779748226.1538457,18664157098.656532,0.04177784306208893
423930,Recyclable Material Merchant Wholesalers,815191327.3426569,19512527875.86819,0.04177784306208893
423940,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers",850634428.531468,20360898653.079853,0.04177784306208893
423990,Other Miscellaneous Durable Goods Merchant Wholesalers,1594939553.4965026,38176684974.52472,0.04177784306208894
424110,Printing and Writing Paper Merchant Wholesalers,59921785.26822294,5667335486.134707,0.01057318477348363
424120,Stationery and Office Supplies Merchant Wholesalers,439426425.30030155,41560460231.65452,0.01057318477348363
424130,Industrial and Personal Service Paper Merchant Wholesalers,409465532.6661901,38726792488.587166,0.01057318477348363
424210,Drugs and Druggists' Sundries Merchant Wholesalers,1188633040.4973223,252450494972.4599,0.004708380708966293
424310,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers",299608926.3411147,28336677430.673534,0.010573184773483632
424340,Footwear Merchant Wholesalers,69908749.47959343,6611891400.490492,0.01057318477348363
424350,Clothing and Clothing Accessories Merchant Wholesalers,589230888.4708589,55728798946.99129,0.010573184773483632
424410,General Line Grocery Merchant Wholesalers,9663130.695392761,4017593314.7857375,0.0024052037969672165
424420,Packaged Frozen Food Merchant Wholesalers,67641914.86774933,28123153203.500164,0.0024052037969672165
424430,Dairy Product (except Dried or Canned) Merchant Wholesalers,57978784.17235657,24105559888.714424,0.0024052037969672165
424440,Poultry and Poultry Product Merchant Wholesalers,35431479.21644013,14731175487.547705,0.0024052037969672165
424450,Confectionery Merchant Wholesalers,57978784.17235657,24105559888.714424,0.0024052037969672165
424460,Fish and Seafood Merchant Wholesalers,25768348.521047365,10713582172.761967,0.0024052037969672165
424470,Meat and Meat Product Merchant Wholesalers,32210435.651309207,13391977715.952457,0.002405203796967217
424480,Fresh Fruit and Vegetable Merchant Wholesalers,22547304.955916446,9374384401.166721,0.0024052037969672165
424490,Other Grocery and Related Products Merchant Wholesalers,257683485.21047366,107135821727.61966,0.002405203796967217
424510,Grain and Field Bean Merchant Wholesalers,79895713.69096392,7556447314.846276,0.010573184773483632
424520,Livestock Merchant Wholesalers,69908749.47959343,6611891400.490492,0.01057318477348363
424590,Other Farm Product Raw Material Merchant Wholesalers,369517675.82070816,34948568831.164024,0.010573184773483632
424610,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,109856606.32507539,10390115057.91363,0.01057318477348363
424690,Other Chemical and Allied Products Merchant Wholesalers,828918029.5437508,78398140891.53012,0.010573184773483632
424710,Petroleum Bulk Stations and Terminals,148659903.05790818,119952427294.124,0.001239323842054428
424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),142196429.01191217,114737104368.29251,0.001239323842054428
424810,Beer and Ale Merchant Wholesalers,69908749.47959343,6611891400.490492,0.01057318477348363
424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,129830534.74781638,12279226886.625198,0.010573184773483632
424910,Farm Supplies Merchant Wholesalers,339556783.1865967,32114901088.096676,0.010573184773483632
424920,"Book, Periodical, and Newspaper Merchant Wholesalers",109856606.32507539,10390115057.91363,0.01057318477348363
424930,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers",89882677.90233442,8501003229.202061,0.010573184773483632
424940,Tobacco Product and Electronic Cigarette Merchant Wholesalers,79895713.69096392,7556447314.846276,0.010573184773483632
424950,"Paint, Varnish, and Supplies Merchant Wholesalers",179765355.80466884,17002006458.404121,0.010573184773483632
424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers,729048387.4300458,68952581747.97227,0.010573184773483632
425120,Wholesale Trade Agents and Brokers,640128557.6886764,39472798007.361855,0.016216954206521906
441110,New Car Dealers,196807485.14474982,23648940081.157166,0.008322042529997388
441120,Used Car Dealers,262409980.19299978,31531920108.209553,0.00832204252999739
441210,Recreational Vehicle Dealers,524819960.38599956,63063840216.419106,0.00832204252999739
441222,Boat Dealers,459217465.3377496,55180860189.366714,0.00832204252999739
441227,"Motorcycle, ATV, and All Other Motor Vehicle Dealers",1115242415.820249,134010660459.8906,0.00832204252999739
441330,Automotive Parts and Accessories Retailers,656024950.4824995,78829800270.52388,0.00832204252999739
441340,Tire Dealers,328012475.24124974,39414900135.26194,0.00832204252999739
444110,Home Centers,31531408.986625742,11785472974.917236,0.0026754470570450033
444120,Paint and Wallpaper Retailers,31531408.986625742,11785472974.917236,0.0026754470570450033
444140,Hardware Retailers,47297113.47993861,17678209462.375854,0.0026754470570450033
444180,Other Building Material Dealers,346845498.85288316,129640202724.0896,0.0026754470570450033
444230,Outdoor Power Equipment Retailers,47297113.47993861,17678209462.375854,0.0026754470570450033
444240,"Nursery, Garden Center, and Farm Supply Retailers",110359931.4531901,41249155412.21033,0.0026754470570450038
445110,Supermarkets and Other Grocery Retailers (except Convenience Retailers),1324875.9762271163,35314018684.01105,3.751699822334221e-05
445131,Convenience Retailers,264975.19524542324,7062803736.80221,3.751699822334221e-05
445230,Fruit and Vegetable Retailers,2119801.561963386,56502429894.41768,3.751699822334221e-05
445240,Meat Retailers,1854826.3667179625,49439626157.61547,3.7516998223342207e-05
445250,Fish and Seafood Retailers,529950.3904908465,14125607473.60442,3.751699822334221e-05
445291,Baked Goods Retailers,264975.19524542324,7062803736.80221,3.751699822334221e-05
445292,Confectionery and Nut Retailers,794925.5857362697,21188411210.40663,3.7516998223342207e-05
445298,All Other Specialty Food Retailers,3974627.9286813485,105942056052.03314,3.751699822334221e-05
445320,"Beer, Wine, and Liquor Retailers",1324875.9762271163,35314018684.01105,3.751699822334221e-05
449110,Furniture Retailers,5521254.402234077,22927782284.734947,0.00024081066078118096
449121,Floor Covering Retailers,3312752.641340446,13756669370.840967,0.00024081066078118096
449122,Window Treatment Retailers,2208501.760893631,9171112913.893978,0.00024081066078118096
449129,All Other Home Furnishings Retailers,12146759.684914969,50441121026.41688,0.00024081066078118096
449210,Electronics and Appliance Retailers,9877964.694109902,41061606351.26,0.00024056449739470043
455110,Department Stores,19949455.47724921,33047540641.64545,0.0006036593068625974
455211,Warehouse Clubs and Supercenters,49873638.69312302,82618851604.11363,0.0006036593068625973
455219,All Other General Merchandise Retailers,109722005.12487064,181761473529.05,0.0006036593068625973
456110,Pharmacies and Drug Retailers,720981.8338484685,50966980333.19328,1.4146057489282221e-05
456120,"Cosmetics, Beauty Supplies, and Perfume Retailers",360490.91692423425,25483490166.59664,1.4146057489282221e-05
456130,Optical Goods Retailers,360490.91692423425,25483490166.59664,1.4146057489282221e-05
456191,Food (Health) Supplement Retailers,360490.91692423425,25483490166.59664,1.4146057489282221e-05
456199,All Other Health and Personal Care Retailers,961309.1117979579,67955973777.59105,1.4146057489282218e-05
457110,Gasoline Stations with Convenience Stores,5299026.627302334,18347586579.391987,0.0002888132782136154
457120,Other Gasoline Stations,10598053.254604667,36695173158.78397,0.0002888132782136154
457210,Fuel dealers,21196106.509209335,73390346317.56795,0.0002888132782136154
458110,Clothing and Clothing Accessories Retailers,1640776.8272436769,153986132907.444,1.0655354454741024e-05
458210,Shoe Retailers,215891.68779522064,20261333277.29526,1.0655354454741026e-05
458310,Jewelry Retailers,172713.3502361765,16209066621.83621,1.0655354454741024e-05
458320,Luggage and Leather Goods Retailers,86356.67511808826,8104533310.918105,1.0655354454741024e-05
459110,Sporting Goods Retailers,7116265.05852198,29544815139.48815,0.00024086341461012324
459120,"Hobby, Toy, and Game Retailers",2134879.5175565938,8863444541.846447,0.00024086341461012316
459130,"Sewing, Needlework, and Piece Goods Retailers",2134879.5175565938,8863444541.846447,0.00024086341461012316
459140,Musical Instrument and Supplies Retailers,1423253.011704396,5908963027.897631,0.00024086341461012319
459210,Book Retailers and News Dealers,2846506.023408792,11817926055.795261,0.00024086341461012319
459310,Florists,687680.6655557054,2871543499.81396,0.00023948119385976862
459410,Office Supplies and Stationery Retailers,1031520.9983335582,4307315249.72094,0.00023948119385976867
