segment_id,segment_name,year,methodology,projection_method,projection_label,occcd,soctitle,employment,employment_auto,employment_raw,share,share_2024,share_2034,ep_entry_education,ep_work_experience,ep_on_the_job_training,ep_edu_grouped,ep_avg_annual_salary,empl_2021,ep_openings_annual_avg,openings,employment_auto_2024,employment_raw_2024,employment_auto_change,employment_raw_change,employment_auto_pct_change,employment_raw_pct_change
3,3. Forging & Foundries,2030,sam_mi_moodys_mi,moodys_mi,Moody's MI,47-0000,Construction and Extraction Occupations,39.20441248500214,39.20441248500214,72.05536634085776,0.0025935854963247806,0.0025125628140703574,0.0029205607476635,High school diploma or equivalent,Unreported,Apprenticeship,HS or less,62350.00000000001,130.0,81.0,0.0,44.59574714426781,80.13567839195998,-5.391334659265674,-8.080312051102226,-0.12089347089139772,-0.10083289008398691
3,3. Forging & Foundries,2030,sam_mi_moodys_mi,moodys_mi,Moody's MI,49-0000,"Installation, Maintenance, and Repair Occupations",513.1256679532364,513.1256679532364,943.0943008624906,0.03394605876837454,0.03172110552763819,0.017853011936707654,High school diploma or equivalent,Less than 5 years,Long-term on-the-job training,HS or less,61945.381301963316,760.0,257.9,0.0,563.0213076963798,1011.7129396984924,-49.89563974314342,-68.61863883600176,-0.08862122811531427,-0.06782421786208574
3,3. Forging & Foundries,2030,sam_mi_moodys_mi,moodys_mi,Moody's MI,51-0000,Production Occupations,4859.459894168737,4859.459894168737,8931.396766294765,0.3214797494111026,0.32631909547738736,0.031815466285279065,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,HS or less,49356.13398353079,9330.0,531.1,0.0,5791.872660361776,10407.621231155788,-932.4127661930388,-1476.224464861023,-0.1609864064474784,-0.14184071768886666
3,3. Forging & Foundries,2030,sam_mi_moodys_mi,moodys_mi,Moody's MI,53-0000,Transportation and Material Moving Occupations,486.34674347819725,486.34674347819725,893.8762386354065,0.03217448700582848,0.031407035175879394,0.017353971962616777,No formal educational credential,Less than 5 years,Short-term on-the-job training,HS or less,43472.41152918401,710.0,1231.8999999999999,0.0,557.4468393033463,1001.6959798994974,-71.10009582514908,-107.81974126409091,-0.12754596638130453,-0.10763719075213692
3,3. Forging & Foundries,2030,sam_mi_moodys_mi_detail,moodys_mi_detail,Moody's MI (detail),00-0000,All Occupations,7627.794099891538,7627.794099891538,14010.175949899225,0.5000000000000001,0.4999999999999999,0.025870322210742182,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,HS or less,58229.863919439435,14030.0,4992.900000000001,0.0,8874.553681709272,15947.0,-1246.7595818177342,-1936.824050100775,-0.1404870178865833,-0.12145381890642597
3,3. Forging & Foundries,2030,sam_mi_moodys_mi_detail,moodys_mi_detail,Moody's MI (detail),11-0000,Management Occupations,474.98243669340116,474.98243669340116,872.4131018797484,0.03113498021008165,0.03015075376884414,0.012203481957424704,Bachelor's degree,5 years or more,Unreported,BA+,133287.35657583174,760.0,600.3,0.0,535.1489657312111,961.6281407035149,-60.16652903780994,-89.21503882376646,-0.11242949700108314,-0.09277498759395485
3,3. Forging & Foundries,2030,sam_mi_moodys_mi_detail,moodys_mi_detail,Moody's MI (detail),13-0000,Business and Financial Operations Occupations,227.80279263121668,227.80279263121668,418.41155710890695,0.01493241621679693,0.014447236180904393,0.006823107138019751,Bachelor's degree,Unreported,Moderate-term on-the-job training,BA+,79796.73130958095,350.0,456.9,0.0,256.425546079537,460.7801507537647,-28.62275344832034,-42.368593644857754,-0.11162208245602118,-0.09194969352640152
3,3. Forging & Foundries,2030,sam_mi_moodys_mi_detail,moodys_mi_detail,Moody's MI (detail),15-0000,Computer and Mathematical Occupations,40.11281598686918,40.11281598686918,73.67629519915316,0.002629385079196065,0.002826633165829108,0.0018172377985461658,"Some college, no degree",Unreported,Moderate-term on-the-job training,SC or associate's,72972.11988706539,40.0,55.099999999999994,0.0,50.17021553730051,90.15263819095358,-10.057399550431327,-16.476342991800422,-0.20046554400297245,-0.1827605195191476
3,3. Forging & Foundries,2030,sam_mi_moodys_mi_detail,moodys_mi_detail,Moody's MI (detail),17-0000,Architecture and Engineering Occupations,324.5330194442205,324.5330194442205,596.0785837192757,0.021273058448761428,0.02010050251256281,0.01998150311526479,Bachelor's degree,Unreported,Unreported,BA+,95119.05979192947,740.0,52.89999999999999,0.0,356.76597715414164,641.0854271356783,-32.23295770992115,-45.0068434164026,-0.0903476221780947,-0.07020412804809775
3,3. Forging & Foundries,2030,sam_mi_moodys_mi_detail,moodys_mi_detail,Moody's MI (detail),19-0000,"Life, Physical, and Social Science Occupations",25.63191513198404,25.63191513198404,47.078832520805335,0.0016801656413581293,0.0015703517587939545,0.0019470404984423002,Bachelor's degree,Unreported,Unreported,BA+,83910.0,0.0,14.9,0.0,27.872341965167045,50.084798994974385,-2.2404268331830046,-3.0059664741690497,-0.0803817216358402,-0.06001754094032952
