adjustment_source,forecast_source,projection_label,segment_id,segment_name,year,value_type,employment_auto,employment_raw,auto_share_ratio,,,,
sam_mi,bls_us,BLS US,10,10. Logistics,2008,QCEW,38940,38940,1,,,,
sam_mi,bls_us,BLS US,1,1. Materials & Processing,2009,QCEW,17615.54464,59620,0.295463681,,,,
sam_mi,bls_us,BLS US,2,2. Equipment Manufacturing,2009,QCEW,4766.456353,39495,0.120685058,,,,
sam_mi,bls_us,BLS US,3,3. Forging & Foundries,2009,QCEW,7444.944743,13152,0.5660694,,,,
sam_mi,bls_us,BLS US,4,4. Parts & Machining,2009,QCEW,11381.08026,37232,0.305680067,,,,
sam_mi,bls_us,BLS US,5,5. Component Systems,2009,QCEW,3708.358735,13865,0.267461863,,,,
sam_mi,bls_us,BLS US,6,6. Engineering & Design,2009,QCEW,587.9915569,77775,0.007560161,,,,
sam_mi,bls_us,BLS US,7,7. Core Automotive,2009,QCEW,122598,122598,1,,,,
sam_mi,bls_us,BLS US,8,"8. Motor Vehicle Parts, Materials, & Products Sales",2009,QCEW,87246.23037,87246.23037,1,,,,
sam_mi,bls_us,BLS US,9,"9. Dealers, Maintenance, & Repair",2009,QCEW,58528,58528,1,,,,
sam_mi,bls_us,BLS US,10,10. Logistics,2009,QCEW,33872,33872,1,,,,
sam_mi,bls_us,BLS US,1,1. Materials & Processing,2010,QCEW,18899.93778,64137,0.294680727,,,,
sam_mi,bls_us,BLS US,2,2. Equipment Manufacturing,2010,QCEW,4728.47101,40126,0.117840577,,,,
sam_mi,bls_us,BLS US,3,3. Forging & Foundries,2010,QCEW,8069.098646,14405,0.560159573,,,,
sam_mi,bls_us,BLS US,4,4. Parts & Machining,2010,QCEW,12321.6292,40120,0.307119372,,,,
sam_mi,bls_us,BLS US,5,5. Component Systems,2010,QCEW,3644.743681,13189,0.276347235,,,,
sam_mi,bls_us,BLS US,6,6. Engineering & Design,2010,QCEW,609.1015191,80680,0.007549597,,,,
