ReceivingCode,ReceivingDescription,total_industry_output,auto_attributed_output,auto_share_of_output
320,Other communication and energy wire manufacturing,1173275.1587417,535861.4604439888,0.4567227529292302
390,Retail - Health and personal care stores,5436331409.0,524693.92396,9.651617690035498e-05
225,"Cutlery, utensil, pot, and pan manufacturing",5314297.6769332,523568.3600540912,0.09852070619352932
232,Ornamental and architectural metal work manufacturing,54320450.8171458,518613.33781826345,0.009547294435460896
278,"Overhead cranes, hoists, and monorail systems manufacturing",17530427.850977,510776.267695272,0.02913655456884959
192,Other pressed and blown glass and glassware manufacturing,1138589.3703884901,507749.61721670086,0.44594621241146415
323,All other miscellaneous electrical equipment and component manufacturing,17695321.4836805,487285.92012116907,0.027537556781354222
105,"Fiber, yarn, and thread mills",1500197.87206,418721.82577883254,0.27911106499828836
352,Institutional furniture manufacturing,35518364.08626,396614.248406498,0.01116645596185904
365,Sporting and athletic goods manufacturing,20955775.061394904,381065.6770218649,0.018184279794254462
355,"Office furniture, except wood, manufacturing",180826189.55488,380844.068786045,0.002106133352273402
425,Direct life insurance carriers,1197579207.91,377736.9761655097,0.0003154171128477852
153,Synthetic dye and pigment manufacturing,33917891.783072,370195.37522192573,0.010914457112770365
478,Performing arts companies,584770988.706,349128.6753347792,0.0005970348770333876
329,Travel trailer and camper manufacturing,58435524.4603,349052.6291941769,0.005973295053273916
306,Analytical laboratory instrument manufacturing,15292578.151331,336095.3592029236,0.021977678052518
310,Electric lamp bulb and part manufacturing,681799.712292,328774.53312612727,0.4822157111520169
252,Farm machinery and equipment manufacturing,298906529.9997059,316522.38221769244,0.0010589343170856918
392,Retail - Clothing and clothing accessories stores,4060868349.0,298853.8791475,7.359358971119898e-05
359,Surgical and medical instrument manufacturing,45992177.981831305,298376.3043748851,0.006487544566659907
22,"Copper, nickel, lead, and zinc mining",150688758.479,293773.19903882244,0.001949536262718381
302,Automatic environmental control manufacturing,6000881.385093001,279875.4774054366,0.046639061738611445
279,"Industrial truck, trailer, and stacker manufacturing",7165157.6491747005,278653.4771205551,0.038890069243996475
184,Plastics bottle manufacturing,67035439.38347,276460.6679448682,0.0041240972012341216
235,Metal cans manufacturing,3579792.01949205,251519.92695355296,0.0702610446595839
319,Fiber optic cable manufacturing,1372476.5034,250738.39939649616,0.18269048597578794
282,Packaging machinery manufacturing,17821991.657221,232041.84631632862,0.013019972783025706
297,"Capacitor, resistor, coil, transformer, and other inductor manufacturing",1096840.928546,223544.64640014802,0.20380771776677264
111,Fabric coating mills,2423129.6166815,216599.15187298614,0.0893881822837116
189,"Pottery, ceramics, and plumbing fixture manufacturing",2193418.7681438997,204845.79790142897,0.09339110291044524
287,Electronic computer manufacturing,5889405.2680797,203274.42102436224,0.03451527136807855
143,All other converted paper product manufacturing,47927702.12674,199017.35076465833,0.004152449250297394
313,Major household appliance manufacturing,70433555.50852,192291.26471374495,0.002730108729077072
227,Prefabricated metal buildings and components manufacturing,58984133.43125661,189133.23453045776,0.003206510353345856
347,All other transportation equipment manufacturing,41926207.6497611,188640.7924361044,0.00449935262478192
86,Rendering and meat byproduct processing,2822465.8435657,185774.94363365808,0.06582008567337112
26,Stone mining and quarrying,357841027.9926,182783.34560848225,0.0005107948259422677
275,Air and gas compressor manufacturing,9370248.459035,169862.95254059584,0.01812790272138518
234,Metal tank (heavy gauge) manufacturing,7267920.887029,167779.63015824583,0.023084955486744607
280,Power-driven handtool manufacturing,4489843.505128,156961.82169181245,0.034959307938582075
408,"Directory, mailing list, and other publishers",49062735.832,152620.9279067951,0.003110730074845352
29,Other nonmetallic mineral mining and quarrying,41039349.440675,150416.3791895659,0.003665174551731196
311,Lighting fixture manufacturing,3457415.9254527004,148653.18730093807,0.042995459761316975
367,Office supplies (except paper) manufacturing,7297478.889843,140881.8306671698,0.019305548230260212
170,Polish and other sanitation good manufacturing,37904766.7073755,131386.46818458405,0.0034662254802644366
123,Other leather and allied product manufacturing,620753.7379889,116906.36149984438,0.18832969395978866
309,Manufacturing and reproducing magnetic and optical media,5587357.263040001,116109.3372306982,0.020780725442196762
316,Switchgear and switchboard apparatus manufacturing,9203126.493002549,114368.31386774938,0.01242711528030257
350,Nonupholstered wood household furniture manufacturing,10863432.1994013,113062.61293365418,0.010407632768204254
120,Apparel accessories and other apparel manufacturing,3777758.418822,111840.67157073834,0.029605035359993474
353,Wood office furniture manufacturing,66927561.422,105489.77038780139,0.0015761783060143808
157,Synthetic rubber manufacturing,4440101.5284858,104987.37335129853,0.023645264117891057
366,"Doll, toy, and game manufacturing",15508963.515873,101787.56966425128,0.006563144568627974
289,Computer terminals and other computer peripheral equipment manufacturing,1872435.2654181,96405.17070893751,0.05148651731220785
161,Fertilizer mixing,15689677.333408998,90180.57314182447,0.0057477646751726
354,Custom architectural woodwork and millwork,13465989.6341723,89517.47176061395,0.0066476712215378314
261,Commercial and service industry machinery manufacturing,14940843.498839,79216.13866559762,0.005301985705944462
106,Broadwoven fabric mills,1138069.13953633,78467.97377062606,0.06894833630458984
270,Turbine and turbine generator set units manufacturing,522539.64887309994,78355.19984769567,0.14995072625909853
159,Nitrogenous fertilizer manufacturing,13892783.146520702,77650.39092444898,0.005589260992956309
283,Industrial process furnace and oven manufacturing,8403383.502002,74791.90062235133,0.008900212706528637
176,Photographic film and chemical manufacturing,5484719.794911,68913.38559522547,0.012564613721774226
357,Mattress manufacturing,10900990.293554401,65057.429302166434,0.005968029284516835
171,Surface active agent manufacturing,2179495.6066685,64361.47963569072,0.029530447062506997
108,Nonwoven fabric mills,580729.61226887,61441.14152937624,0.10579991140684215
148,Asphalt shingle and coating materials manufacturing,154792037.715848,60219.57818691894,0.0003890353733663234
274,"Measuring, dispensing, and other pumping equipment manufacturing",17685408.2105125,60057.40278727155,0.0033958731442552985
303,Industrial process variable instruments manufacturing,11283639.818794,58608.98741995252,0.005194156173111229
298,Electronic connector manufacturing,659696.3515197,58141.22791532918,0.08813331736850291
403,Couriers and messengers,2685364298.0756,53204.624845195,1.9812814553065585e-05
255,Mining machinery and equipment manufacturing,48421094.8257378,52751.02662194623,0.0010894224265641118
25,Other metal ore mining,23954563.59,51621.24654091356,0.002154965017290618
114,Textile bag and canvas mills,10626234.2992492,48386.540044399044,0.004553498321396679
27,Sand and gravel mining,302041179.40155,46745.77860812405,0.0001547662431352702
164,Pharmaceutical preparation manufacturing,309033845.95489997,45423.15735031534,0.00014698440945832303
364,Jewelry and silverware manufacturing,33278392.899241,43874.263816705046,0.0013184009200668376
341,Propulsion units and parts for space vehicles and guided missiles manufacturing,25829167.177479,41062.34114194797,0.0015897663621826374
109,Knit fabric mills,217469.4675032,40734.91938280211,0.18731328057444527
136,Pulp mills,1658643.666049,38261.57498574733,0.02306798968876115
11001,Federal Government NonDefense,22059419.483975,35760.847693886215,0.001621114631772816
411,Motion picture and video industries,1477733427.336,32218.867951866563,2.1802895810477455e-05
145,Support activities for printing,32262631.569546,31800.394194605447,0.0009856726698209927
142,Sanitary paper product manufacturing,4850940.100250806,24500.739134157528,0.005050719783757127
301,"Search, detection, and navigation instruments manufacturing",20304406.5581236,22601.965240506834,0.0011131556677515405
361,Dental equipment and supplies manufacturing,2963471.5611496004,22311.017965051135,0.007528676251712085
173,Printing ink manufacturing,3379791.445799,18201.48624084358,0.005385387392310136
163,Medicinal and botanical manufacturing,26904723.069965,16971.27021490164,0.0006307914848544739
292,Other communications equipment manufacturing,4238057.471632999,16749.843971252874,0.0039522455944418465
372,"Broom, brush, and mop manufacturing",30040546.66692,14833.777628988064,0.0004937918671540921
64,Soybean and other oilseed processing,118982078.66103499,13541.118543503198,0.00011380805156447255
254,Construction machinery manufacturing,451920168.7462376,13092.38244512011,2.897056460534239e-05
342,Railroad rolling stock manufacturing,7688685.4937116,12467.52928139097,0.0016215423678843251
119,Cut and sew apparel manufacturing (except contractors),30712859.170507997,12445.438634555669,0.0004052191482877762
