segment_id,segment_label_us,stage,occcd,Occupation Title,Occupation Type,Display Level,2024 Employment,2024 Percent of Industry,2024 Percent of Occupation,Projected 2034 Employment,Projected 2034 Percent of Industry,Projected 2034 Percent of Occupation,"Employment Change, 2024-2034","Employment Percent Change, 2024-2034",segment_share_2024,segment_share_2034,segment_label_raw,soctitle,empl_2021,empl_2024,occ_level,is_total_all,pct_seg_major_2021,pct_seg_detailed_2021,pct_seg_major_2024,pct_seg_detailed_2024,level_change_2021_2024,pct_change_2021_2024,ep_title,ep_type,ep_employment_2024,ep_employment_2034,ep_change_numeric,ep_change_percent,ep_openings_annual_avg,ep_median_annual_wage_2024,ep_entry_education,ep_work_experience,ep_on_the_job_training,ep_edu_grouped,segment_label_mi,segment_name,share_diff_2024,share_diff_pct_points
2.0,2. Equipment Manufacturing,Upstream,11-0000,Management occupations,Summary,1.0,71.7,14.9,0.5,72.4,15.3,0.5,0.7000000000000001,-1.4,0.0764963192147658,0.0778327241453451,2. Equipment Manufacturing,Management Occupations,3530.0,3870.0,major,False,0.0737413829120534,,0.0801906340654786,,340.0,9.631728045325772,  Management occupations,Summary,13607.6,14441.0,833.4,6.1,1147.9,122090.0,—,—,—,,2. Equipment Manufacturing,2. Equipment Manufacturing,-0.00369431485071281,-0.369431485071281
2.0,2. Equipment Manufacturing,Upstream,13-0000,Business and financial operations occupations,Summary,1.0,54.8,10.2,0.5,56.2,10.6,0.5,1.4,0.5,0.0584658060386215,0.0604171145990109,2. Equipment Manufacturing,Business and Financial Operations Occupations,2840.0,3040.0,major,False,0.0593273448924169,,0.0629921259842519,,200.0,7.042253521126751,  Business and financial operations occupations,Summary,11262.0,11848.9,586.9,5.2,942.5,80920.0,—,—,—,,2. Equipment Manufacturing,2. Equipment Manufacturing,-0.004526319945630401,-0.45263199456304015
2.0,2. Equipment Manufacturing,Upstream,15-0000,Computer and mathematical occupations,Summary,1.0,20.2,3.5,0.3,20.2,3.6,0.3,0.0,-5.1000000000000005,0.0215512642697108,0.0217157600516018,2. Equipment Manufacturing,Computer and Mathematical Occupations,780.0,740.0,major,False,0.0162941299352412,,0.0153336096145876,,-40.0,-5.128205128205132,  Computer and mathematical occupations,Summary,5416.7,5962.3,545.6,10.1,355.4,105850.0,—,—,—,,2. Equipment Manufacturing,2. Equipment Manufacturing,0.0062176546551232,0.62176546551232
2.0,2. Equipment Manufacturing,Upstream,17-0000,Architecture and engineering occupations,Summary,1.0,91.2,17.5,3.4,95.5,18.6,3.4,4.3,6.0,0.0973007574949322,0.1026660933132659,2. Equipment Manufacturing,Architecture and Engineering Occupations,5070.0,6030.0,major,False,0.1059118445790683,,0.1249481972648155,,960.0,18.93491124260356,  Architecture and engineering occupations,Summary,2648.4,2788.3,139.9,5.3,186.5,97310.0,—,—,—,,2. Equipment Manufacturing,2. Equipment Manufacturing,-0.027647439769883306,-2.7647439769883304
2.0,2. Equipment Manufacturing,Upstream,19-0000,"Life, physical, and social science occupations",Summary,1.0,2.6,0.4,0.2,2.8000000000000003,0.4,0.2,0.2,9.9,0.0027739251040221,0.0030101053536873,2. Equipment Manufacturing,"Life, Physical, and Social Science Occupations",40.0,50.0,major,False,0.0008355964069354,,0.0010360547036883,,10.0,25.0,"  Life, physical, and social science occupations",Summary,1609.5,1690.4,80.9,5.0,144.7,78980.0,—,—,—,,2. Equipment Manufacturing,2. Equipment Manufacturing,0.0017378704003338,0.17378704003338
2.0,2. Equipment Manufacturing,Upstream,23-0000,Legal occupations,Summary,1.0,0.4,0.1,0.0,0.4,0.1,0.0,0.0,0.1,0.0004267577083111,0.0004300150505267,,,,,,,,,,,,,,,,,,,,,,,,,,2. Equipment Manufacturing,,
2.0,2. Equipment Manufacturing,Upstream,25-0000,Educational instruction and library occupations,Summary,1.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.8,0.0001066894270777,0.0001075037626316,,,,,,,,,,,,,,,,,,,,,,,,,,2. Equipment Manufacturing,,
2.0,2. Equipment Manufacturing,Upstream,27-0000,"Arts, design, entertainment, sports, and media occupations",Summary,1.0,3.3,0.7,0.1,3.3,0.7,0.1,0.0,-5.4,0.0035207510935666,0.0035476241668458,2. Equipment Manufacturing,"Arts, Design, Entertainment, Sports, and Media Occupations",170.0,200.0,major,False,0.0035512847294756,,0.0041442188147534,,30.0,17.647058823529417,"  Arts, design, entertainment, sports, and media occupations",Summary,3021.1,3104.6,83.5,2.8,289.4,60140.0,—,—,—,,2. Equipment Manufacturing,2. Equipment Manufacturing,-0.0006234677211867999,-0.06234677211867999
2.0,2. Equipment Manufacturing,Upstream,29-0000,Healthcare practitioners and technical occupations,Summary,1.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,1.9,0.0001066894270777,0.0001075037626316,,,,,,,,,,,,,,,,,,,,,,,,,,2. Equipment Manufacturing,,
2.0,2. Equipment Manufacturing,Upstream,33-0000,Protective service occupations,Summary,1.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,-7.1,0.0002133788541555,0.0002150075252633,,,,,,,,,,,,,,,,,,,,,,,,,,2. Equipment Manufacturing,,
