segment_id,segment_name,occcd,issue,level
1.0,1. Materials & Processing,51-8013,missing_in_mi,detailed
1.0,1. Materials & Processing,51-8090,missing_in_mi,detailed
1.0,1. Materials & Processing,51-8092,missing_in_mi,detailed
1.0,1. Materials & Processing,51-8093,missing_in_mi,detailed
1.0,1. Materials & Processing,51-8099,missing_in_mi,detailed
1.0,1. Materials & Processing,51-9000,missing_in_mi,detailed
1.0,1. Materials & Processing,51-9010,missing_in_mi,detailed
1.0,1. Materials & Processing,51-9020,missing_in_mi,detailed
1.0,1. Materials & Processing,51-9022,missing_in_mi,detailed
1.0,1. Materials & Processing,51-9030,missing_in_mi,detailed
1.0,1. Materials & Processing,51-9031,missing_in_mi,detailed
1.0,1. Materials & Processing,51-9120,missing_in_mi,detailed
1.0,1. Materials & Processing,51-9123,missing_in_mi,detailed
1.0,1. Materials & Processing,51-9160,missing_in_mi,detailed
1.0,1. Materials & Processing,51-9190,missing_in_mi,detailed
1.0,1. Materials & Processing,51-9191,missing_in_mi,detailed
1.0,1. Materials & Processing,51-9194,missing_in_mi,detailed
1.0,1. Materials & Processing,51-9196,missing_in_mi,detailed
1.0,1. Materials & Processing,53-1000,missing_in_mi,detailed
1.0,1. Materials & Processing,53-3000,missing_in_mi,detailed
1.0,1. Materials & Processing,53-3030,missing_in_mi,detailed
1.0,1. Materials & Processing,53-3031,missing_in_mi,detailed
1.0,1. Materials & Processing,53-4000,missing_in_mi,detailed
1.0,1. Materials & Processing,53-4010,missing_in_mi,detailed
1.0,1. Materials & Processing,53-6000,missing_in_mi,detailed
1.0,1. Materials & Processing,53-7000,missing_in_mi,detailed
1.0,1. Materials & Processing,53-7011,missing_in_mi,detailed
1.0,1. Materials & Processing,53-7060,missing_in_mi,detailed
1.0,1. Materials & Processing,53-7061,missing_in_mi,detailed
1.0,1. Materials & Processing,53-7070,missing_in_mi,detailed
1.0,1. Materials & Processing,53-7072,missing_in_mi,detailed
1.0,1. Materials & Processing,53-7121,missing_in_mi,detailed
1.0,1. Materials & Processing,53-7199,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,11-1000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,11-2000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,11-2020,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,11-3000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,11-3010,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,11-3131,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,11-9000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,11-9021,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,11-9121,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,11-9141,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,13-1000,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,13-1041,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,13-1070,missing_in_mi,detailed
2.0,2. Equipment Manufacturing,13-1075,missing_in_mi,detailed
