segment_id,segment_name,stage,Occupation Code,Occupation Title,Occupation Type,Display Level,2024 Employment,Projected 2034 Employment,"Employment Change, 2024-2034","Employment Percent Change, 2024-2034",segment_share_2024,segment_share_2034
1,1. Materials & Processing,Upstream,17-2072,"Electronics engineers, except computer",Line Item,4.0,0.5,0.5,0.0,11.2,0.000239051443870721,0.00023501762632197415
1,1. Materials & Processing,Upstream,17-2081,Environmental engineers,Line Item,3.0,0.8,0.8,0.0,7.1,0.0003824823101931536,0.00037602820211515863
1,1. Materials & Processing,Upstream,17-2110,"Industrial engineers, including health and safety",Summary,3.0,35.5,39.9,4.3,110.8,0.01697265251482119,0.018754406580493536
1,1. Materials & Processing,Upstream,17-2111,"Health and safety engineers, except mining safety engineers and inspectors",Line Item,4.0,1.3,1.2000000000000002,0.0,10.200000000000001,0.0006215337540638746,0.0005640423031727381
1,1. Materials & Processing,Upstream,17-2112,Industrial engineers,Line Item,4.0,33.9,38.5,4.3,114.3,0.016207687894434882,0.01809635722679201
1,1. Materials & Processing,Upstream,17-2131,Materials engineers,Line Item,3.0,2.6,2.9,0.1,42.8,0.0012430675081277491,0.00136310223266745
1,1. Materials & Processing,Upstream,17-2141,Mechanical engineers,Line Item,3.0,8.1,9.1,1.0,104.0,0.00387263339070568,0.00427732079905993
1,1. Materials & Processing,Upstream,17-2171,Petroleum engineers,Line Item,3.0,0.1,0.1,0.0,2.5,4.78102887741442e-05,4.700352526439483e-05
1,1. Materials & Processing,Upstream,17-2199,"Engineers, all other",Line Item,3.0,4.4,4.5,0.1,20.8,0.002103652706062345,0.0021151586368977674
1,1. Materials & Processing,Upstream,17-3000,"Drafters, engineering technicians, and mapping technicians",Summary,2.0,20.9,21.5,0.29999999999999993,1.9000000000000004,0.009992350353796137,0.010105757931844888
1,1. Materials & Processing,Upstream,17-3010,Drafters,Summary,3.0,3.3000000000000003,3.2,-0.1,-57.9,0.0015777395295467588,0.0015041128084606345
1,1. Materials & Processing,Upstream,17-3011,Architectural and civil drafters,Line Item,4.0,0.7,0.7,0.0,8.3,0.00033467202141900936,0.0003290246768507638
1,1. Materials & Processing,Upstream,17-3013,Mechanical drafters,Line Item,4.0,1.7000000000000002,1.6,0.0,-50.4,0.0008127749091604514,0.0007520564042303173
1,1. Materials & Processing,Upstream,17-3019,"Drafters, all other",Line Item,4.0,0.6000000000000001,0.6000000000000001,0.0,-20.3,0.0002868617326448652,0.00028202115158636903
1,1. Materials & Processing,Upstream,17-3020,"Engineering technologists and technicians, except drafters",Summary,3.0,17.7,18.1,0.39999999999999997,13.8,0.008462421113023522,0.008507638072855464
1,1. Materials & Processing,Upstream,17-3023,Electrical and electronic engineering technologists and technicians,Line Item,4.0,2.7,2.6,0.0,22.4,0.0012908777969018934,0.0012220916568742655
1,1. Materials & Processing,Upstream,17-3024,Electro-mechanical and mechatronics technologists and technicians,Line Item,4.0,0.3,0.4,0.0,3.0,0.0001434308663224326,0.00018801410105757932
1,1. Materials & Processing,Upstream,17-3025,Environmental engineering technologists and technicians,Line Item,4.0,0.1,0.1,0.0,-1.6,4.78102887741442e-05,4.700352526439483e-05
1,1. Materials & Processing,Upstream,17-3026,Industrial engineering technologists and technicians,Line Item,4.0,9.5,10.0,0.30000000000000004,22.4,0.004541977433543699,0.004700352526439483
1,1. Materials & Processing,Upstream,17-3027,Mechanical engineering technologists and technicians,Line Item,4.0,2.2,2.2,0.0,-28.9,0.0010518263530311725,0.0010340775558166863
1,1. Materials & Processing,Upstream,17-3028,Calibration technologists and technicians,Line Item,4.0,0.4,0.4,0.0,8.7,0.0001912411550965768,0.00018801410105757932
1,1. Materials & Processing,Upstream,17-3029,"Engineering technologists and technicians, except drafters, all other",Line Item,4.0,2.2,2.3000000000000003,0.0,17.8,0.0010518263530311725,0.0010810810810810813
1,1. Materials & Processing,Upstream,19-0000,"Life, physical, and social science occupations",Summary,1.0,42.199999999999996,44.2,2.1,59.5,0.02017594186268885,0.020775558166862516
1,1. Materials & Processing,Upstream,19-1000,Life scientists,Summary,2.0,1.3,1.3,0.0,6.2,0.0006215337540638746,0.0006110458284371328
1,1. Materials & Processing,Upstream,19-1010,Agricultural and food scientists,Summary,3.0,0.3,0.3,0.0,2.5,0.0001434308663224326,0.0001410105757931845
1,1. Materials & Processing,Upstream,19-1013,Soil and plant scientists,Line Item,4.0,0.3,0.3,0.0,2.5,0.0001434308663224326,0.0001410105757931845
1,1. Materials & Processing,Upstream,19-1020,Biological scientists,Summary,3.0,0.8999999999999999,1.0,0.0,6.2,0.0004302925989672977,0.0004700352526439483
1,1. Materials & Processing,Upstream,19-1022,Microbiologists,Line Item,4.0,0.30000000000000004,0.30000000000000004,0.0,6.2,0.0001434308663224326,0.00014101057579318451
1,1. Materials & Processing,Upstream,19-2000,Physical scientists,Summary,2.0,16.099999999999998,16.6,0.4,17.8,0.007697456492637215,0.007802585193889542
1,1. Materials & Processing,Upstream,19-2030,Chemists and materials scientists,Summary,3.0,15.6,16.0,0.4,16.200000000000003,0.007458405048766495,0.007520564042303173
1,1. Materials & Processing,Upstream,19-2031,Chemists,Line Item,4.0,14.5,14.9,0.4,16.200000000000003,0.0069324918722509085,0.00700352526439483
1,1. Materials & Processing,Upstream,19-2032,Materials scientists,Line Item,4.0,1.1,1.1,0.0,16.8,0.0005259131765155863,0.0005170387779083431
1,1. Materials & Processing,Upstream,19-2040,Environmental scientists and geoscientists,Summary,3.0,0.4,0.4,0.0,2.5,0.0001912411550965768,0.00018801410105757932
1,1. Materials & Processing,Upstream,19-2041,"Environmental scientists and specialists, including health",Line Item,4.0,0.4,0.4,0.0,2.5,0.0001912411550965768,0.00018801410105757932
1,1. Materials & Processing,Upstream,19-4000,"Life, physical, and social science technicians",Summary,2.0,16.5,16.8,0.4,22.4,0.007888697647733792,0.007896592244418332
1,1. Materials & Processing,Upstream,19-4010,Agricultural and food science technicians,Summary,3.0,0.2,0.2,0.0,2.5,9.56205775482884e-05,9.400705052878966e-05
1,1. Materials & Processing,Upstream,19-4013,Food science technicians,Line Item,4.0,0.1,0.1,0.0,2.5,4.78102887741442e-05,4.700352526439483e-05
1,1. Materials & Processing,Upstream,19-4021,Biological technicians,Line Item,3.0,0.2,0.2,0.0,6.2,9.56205775482884e-05,9.400705052878966e-05
1,1. Materials & Processing,Upstream,19-4031,Chemical technicians,Line Item,3.0,14.1,14.500000000000002,0.30000000000000004,22.4,0.006741250717154331,0.0068155111633372515
1,1. Materials & Processing,Upstream,19-4040,Environmental science and geoscience technicians,Summary,3.0,0.1,0.1,0.0,2.5,4.78102887741442e-05,4.700352526439483e-05
1,1. Materials & Processing,Upstream,19-4042,"Environmental science and protection technicians, including health",Line Item,4.0,0.1,0.1,0.0,2.5,4.78102887741442e-05,4.700352526439483e-05
1,1. Materials & Processing,Upstream,19-4090,"Miscellaneous life, physical, and social science technicians",Summary,3.0,1.6,1.6,0.0,15.3,0.0007649646203863072,0.0007520564042303173
1,1. Materials & Processing,Upstream,19-4099,"Life, physical, and social science technicians, all other",Line Item,4.0,1.6,1.6,0.0,15.3,0.0007649646203863072,0.0007520564042303173
1,1. Materials & Processing,Upstream,19-5000,Occupational health and safety specialists and technicians,Summary,2.0,8.5,9.6,0.9,118.8,0.004063874545802257,0.004512338425381904
1,1. Materials & Processing,Upstream,19-5011,Occupational health and safety specialists,Line Item,3.0,6.6,7.6,0.9,134.7,0.003155479059093517,0.0035722679200940067
1,1. Materials & Processing,Upstream,19-5012,Occupational health and safety technicians,Line Item,3.0,1.6,1.7000000000000002,0.0,28.5,0.0007649646203863072,0.0007990599294947122
