stage,year,employment_qcew,value_type,forecast_source,applied_yoy_pct
Upstream,2046,58281.56043566553,Forecast,Moody,-1.5426270177217138
Upstream,2047,57375.36402287339,Forecast,Moody,-1.5548595576682471
Upstream,2048,56459.21362566746,Forecast,Moody,-1.5967661605435772
Upstream,2049,55565.306702370435,Forecast,Moody,-1.5832790892621185
Upstream,2050,54717.75056678687,Forecast,Moody,-1.5253333165664142
Upstream,2051,53905.735649639115,Forecast,Moody,-1.4840063941529014
Upstream,2052,53105.96715209487,Forecast,Moody,-1.4836426734667871
Upstream,2053,52290.56833496291,Forecast,Moody,-1.5354184489224452
Upstream,2054,51447.135272017054,Forecast,Moody,-1.6129736007897126
Upstream,2055,50589.677555681534,Forecast,Moody,-1.666677283004929
