stage,year,employment_qcew,value_type,forecast_source,applied_yoy_pct
Upstream,2031,191319.07939527606,Forecast,Moody,-1.038224907836403
Upstream,2032,205610.29784337885,Forecast,BLS,0.0239361547979655
Upstream,2032,188583.01644795737,Forecast,Moody,-1.430104595927835
Upstream,2033,205659.5130425512,Forecast,BLS,0.0239361547979655
Upstream,2033,185263.32441747593,Forecast,Moody,-1.7603345693632917
Upstream,2034,205708.7400219498,Forecast,BLS,0.0239361547979655
Upstream,2034,181800.60285327068,Forecast,Moody,-1.8690809824843089
Upstream,2035,178555.42349072156,Forecast,Moody,-1.7850212329429274
Upstream,2036,175706.82518095357,Forecast,Moody,-1.5953580429417722
Upstream,2037,173021.66485803548,Forecast,Moody,-1.528204906185487
Upstream,2038,170382.27151546677,Forecast,Moody,-1.5254698564681757
Upstream,2039,167858.60440852318,Forecast,Moody,-1.4811794000025982
Upstream,2040,165280.06980644222,Forecast,Moody,-1.5361348982775385
Upstream,2041,162716.7047973306,Forecast,Moody,-1.5509220271467374
Upstream,2042,160160.30431961923,Forecast,Moody,-1.5710743902388251
Upstream,2043,157599.07310178323,Forecast,Moody,-1.5991673022328683
Upstream,2044,155107.11108635768,Forecast,Moody,-1.5812034718098666
Upstream,2045,152682.441577512,Forecast,Moody,-1.5632226606913526
Upstream,2046,150327.12098242014,Forecast,Moody,-1.5426270177217138
Upstream,2047,147989.74537405747,Forecast,Moody,-1.5548595576682471
Upstream,2048,145626.69519884992,Forecast,Moody,-1.5967661605435772
Upstream,2049,143321.01818538303,Forecast,Moody,-1.5832790892621185
Upstream,2050,141134.89494535918,Forecast,Moody,-1.5253333165664142
Upstream,2051,139040.44407998907,Forecast,Moody,-1.4840063941529014
Upstream,2052,136977.5807182406,Forecast,Moody,-1.4836426734667871
Upstream,2053,134874.4016730051,Forecast,Moody,-1.5354184489224452
Upstream,2054,132698.91317979645,Forecast,Moody,-1.6129736007897126
Upstream,2055,130487.25053903436,Forecast,Moody,-1.666677283004929
