Stage,Sector,naics4,naics_title,emp,num_to_set,denom_total,share_to_set
,,5419,,,1330905343.5064602,150188158281.24707,0.00886158641758004
,,5222,,,1171414136.577,133838604830.36107,0.008752438342149144
,,5223,,,711609391.5090001,81455802842.24747,0.00873614115481924
,,4599,,,44504464.85699999,5293603535.828216,0.00840721534126696
,,4594,,,12249645.2812,1458738529.6202397,0.008397423549502738
,,4591,,,24063379.1931,2869793986.2334523,0.008385054574834728
,,4491,,,28601211.126500003,3411895600.5986195,0.008382791994421488
,,4592,,,3529188.7073,422069945.18619,0.00836162050283668
,,4595,,,11517126.4254,1378294780.6053796,0.008356069098905973
,,4492,,,31409737.224400003,3759222239.318518,0.008355381838263981
,,4593,,,3082559.5205,369637816.9885,0.00833940516588405
,,3332,,,51061722.6376,6209968570.038768,0.008222541235386837
,,2211,,,2421828464.4123,297985490858.42316,0.008127336862729812
,,2212,,,183768380.97599998,22711767223.508965,0.00809132900876957
Downstream,"9. Dealers, Maintenance, & Repair",8111,Automotive Repair and Maintenance,31210.0,488618648.748,60769193390.67089,0.008040564988361542
,,4583,,,2940305.6028000005,368569441.7512895,0.007977616345047176
,,4582,,,1930065.779,243830092.76640072,0.007915617621689882
,,6111,,,6484047.5737,819170786.7840502,0.007915379403549609
,,4581,,,10841306.8107,1380160906.0470293,0.007855103534087915
,,3221,,,393806264.58709997,51084156809.29909,0.007708970631681515
,,5221,,,3379389036.2429996,438671950917.1766,0.007703681598920021
,,5211,,,52934796.639,6871707720.6076,0.0077032957150161615
OEM,6. Engineering & Design,5414,Industrial design,10160.0,282026941.034,37624945033.394585,0.007495743602646668
,,3379,,,168286.28707,23675297.712338723,0.0071080959198369514
,,4832,,,45073663.0327,6383857820.029781,0.007060568124070427
,,4831,,,81676986.4946,11580032556.41498,0.007053260523810313
,,2213,,,53419991.8609,7766162311.874983,0.006878557222428541
,,5242,,,3800317791.3710003,555434680383.8037,0.006842060687937224
,,3352,,,21646575.462135807,3235360914.7713003,0.006690621551155739
,,6216,,,4087208.9123127144,627457346.1083502,0.006513923117902153
,,3273,,,492358078.7062,76017600819.44324,0.0064768957899059105
,,4244,,,521738349.6884,80652262585.65057,0.006468985902711999
OEM,6. Engineering & Design,5413,"Architectural, Engineering, and Related Services",87100.0,1147763336.3177,184299207248.10474,0.0062277171641469614
,,2372,,,6877481.4069,1151679020.9064,0.005971699824389656
,,2381,,,105533876.9934,17800821565.31339,0.005928595857566647
,,2383,,,114694001.91749999,19395313195.943695,0.005913490581914754
,,2361,,,128688749.85679999,21763194894.815464,0.005913136856916944
,,2379,,,18843498.329,3187022709.1639013,0.005912571088626944
,,2362,,,116162377.8011,19648119745.091057,0.005912137105644541
,,2382,,,277685382.2981,46972472686.76625,0.0059116620099996025
,,2373,,,43392766.236,7342295472.764203,0.005909972759467774
,,2389,,,112324861.67899999,19008585554.91272,0.005909164643235115
,,2371,,,70581575.5005,11945105861.612898,0.005908827960020243
,,3331,,,75917358.3223,12925557306.716768,0.005873430175645079
,,3333,,,48637015.021,8463446727.091424,0.005746714853809301
,,5324,,,887733256.5765,159715089895.35626,0.00555823032850643
,,5612,,,91280858.53639999,16637505826.6353,0.005486450883176655
,,5182,,,897031852.54,167800198046.5783,0.005345833097831029
,,6242,,,46976.17503,8940543.950220855,0.005254286013418631
,,5239,,,2288682191.5999,437679849169.0221,0.005229123972568503
,,8113,,,263913466.85700005,51020394030.25809,0.0051727053832724985
,,6213,,,6118565.645500001,1185951307.5039172,0.0051592047723930615
