Stage,Sector,naics4,naics_title,emp,num_to_set,denom_total,share_to_set
,,7223,,,104707440.92600171,40532923732.94312,0.002583268890640148
,,7224,,,31262624.4796263,12122288217.776556,0.0025789375667360946
,,2131,,,42427179.523247235,18665621388.18604,0.002273011899303846
,,5122,,,48353419.49440087,24487932614.708603,0.0019745815318585745
,,3342,,,26223772.471712455,14538015778.490139,0.001803806851724022
,,3254,,,155375819.67283806,92612463353.9908,0.001677698811216673
,,3111,,,54524498.795767196,36684047649.07536,0.0014863272264106742
,,3119,,,44772307.45300087,31624738046.496864,0.001415736863564642
,,3116,,,105279006.05944602,86739949885.75342,0.001213731460510534
,,4861,,,9754706.21634836,8990938180.899826,0.001084948647191354
,,3253,,,27526063.032499965,25759762179.221344,0.0010685682127416292
,,4869,,,5253927.244605143,5004773500.599207,0.001049783220754367
,,4862,,,30039710.059160654,29039884227.007374,0.0010344294014513816
,,8121,,,1552680.9517497157,1679612968.7736444,0.0009244278179653452
,,5615,,,33128379.058095,38941566986.10221,0.0008507202360377057
,,2111,,,240471229.07087803,290173407105.5841,0.0008287155996461759
,,3115,,,36679624.64151668,53343193640.64585,0.0006876158350888078
,,3113,,,6664203.65128663,12251364867.76962,0.0005439560182244297
,,6212,,,49500.42510911098,105095229.09989421,0.00047100544461500023
,,3117,,,2302004.365592037,5234907384.327705,0.0004397411829068438
,,1110,,,54789388.07756235,132091775365.0213,0.00041478273667045363
,,5121,,,36008455.05863732,86831616483.11392,0.0004146929023904543
,,3114,,,2677971.656641982,11190293219.255322,0.00023931201838696704
,,6219,,,2334603.577311832,13665620678.809301,0.00017083772718293013
,,5259,,,540885.7449248318,4363013682.073606,0.00012397067356152903
,,5251,,,62489.094595502975,751280578.5916514,8.317677359987778e-05
,,6215,,,1813406.8931537447,21806369858.3904,8.315950361889341e-05
,,1153,,,128628.73510175901,1766206789.897634,7.282767557994389e-05
,,1152,,,157332.3230205714,2994696256.6543193,5.2536988574708876e-05
,,1151,,,900561.0615443913,18528235207.134007,4.8604794330203905e-05
,,1120,,,5892218.9622313855,264075836062.16113,2.231260175143177e-05
,,1142,,,0.0,1203200927.831244,0.0
,,1141,,,0.0,7796241257.004106,0.0
,,8141,,,0.0,0.0,0.0
