Stage,Sector,naics4,naics_title,emp,num_to_set,denom_total,share_to_set
,,6111,,,2448408.296331432,18170058.9847983,0.13474960639257447
,,4551,,,9152392.049195496,68008680.87485115,0.13457682065672807
,,3251,,,145931485.70433488,1095730817.6464357,0.13318187583496738
,,4552,,,36395634.91922973,273947004.87977403,0.13285648052696372
,,5411,,,625493884.1819125,4802360901.24264,0.13024716322758298
Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales",4571,Gasoline Stations,27370.0,44764352.564456016,345475794.71706265,0.12957305041042622
,,4582,,,339290.4861275372,2645887.085363494,0.12823316913424715
,,5211,,,8845171.45723509,69001799.83669102,0.1281875469649961
,,2211,,,818707398.5707915,6409593632.817411,0.127731560762132
,,2212,,,45373883.0878814,355386073.5730487,0.12767490473583487
,,3259,,,49423801.51417876,388302643.1988246,0.1272816510004338
,,5321,,,110211452.01655486,873671849.735769,0.12614742257048447
,,4583,,,565272.417452403,4557111.131533076,0.12404183289298838
,,5323,,,10944792.721769303,88821631.56719321,0.12322215353012977
,,5322,,,26249566.666759476,213846972.14561278,0.12274930247263735
,,5174,,,2722089.8497274974,22193795.073777918,0.12265094098051128
,,5231,,,252073200.42989036,2109139045.00927,0.1195147380284653
,,8113,,,140794826.4337649,1212318461.191531,0.1161368328049581
,,4879,,,720258.5690603632,6220637.520029366,0.11578533015969127
,,4593,,,592501.3680687494,5138665.031457702,0.11530258626347409
,,4592,,,675747.3577884493,5867190.168511102,0.11517393136754787
,,4581,,,2176297.378657267,18910334.575876202,0.11508508059045958
,,4591,,,3925203.8192555597,34508782.685893856,0.11374506759579392
,,4594,,,2097244.708362482,18499399.5120093,0.11336825862920624
,,4599,,,8286209.288408279,73189584.4569557,0.1132156897718359
,,4491,,,4720029.049334716,42208581.60860826,0.1118262890969093
,,5619,,,133073873.82026547,1196550608.37278,0.11121458038556016
,,4492,,,4953370.696085426,44549254.60813807,0.11118863243966746
,,6113,,,32061338.85516597,288693210.6388522,0.11105678164102682
,,4595,,,1566891.3999260685,14142996.994279398,0.11078920546754337
,,4871,,,1610988.2662111144,14567395.005221425,0.1105886306806182
,,3351,,,4424258.432030866,40129041.4897749,0.1102507876535798
,,2381,,,37952046.618678905,345048902.2694448,0.10999034156915699
,,5419,,,400801375.4373251,3670343184.9544673,0.10919997265658887
,,2379,,,4352895.855998126,40485318.041524254,0.10751788713956813
,,2371,,,21423147.527520332,199354586.52134094,0.10746252645271837
,,4872,,,2707357.981882103,25227829.261044484,0.10731632729347292
,,2373,,,16202598.340778772,151604497.1692526,0.10687412737295021
,,2383,,,45299625.473436035,424179628.1504314,0.10679349612087204
,,4884,,,40396450.715696685,378461554.9649174,0.10673858463494754
,,2382,,,116426997.95507753,1098116100.1730437,0.10602430647973442
