Stage,Sector,naics4,naics_title,emp,num_to_set,denom_total,share_to_set
,,vl|1,,,33407060077.874985,134075856340.33255,0.24916536794720073
,,4552,,,67711317.17587212,273947004.87977403,0.2471694012701044
,,4551,,,16711910.4334158,68008680.87485115,0.24573201859581542
,,4581,,,4624896.948251999,18910334.575876202,0.24456981073999354
,,6223,,,1213597.162509,5094911.648839528,0.2381978817602111
,,3241,,,527390062.3445884,2251856311.9088063,0.23420235987328225
,,2212,,,83192700.09894136,355386073.5730487,0.23409105275995376
,,6222,,,590654.7608350001,2524056.304711027,0.23401013667269308
,,4593,,,1200083.810449,5138665.031457702,0.23353999591379637
,,3271,,,7364951.722116159,31696850.13453063,0.23235594990849776
,,4592,,,1362031.325924,5867190.168511102,0.2321437156126198
,,3256,,,83585253.64678426,360219712.4229997,0.23203964348467296
,,5619,,,276209068.57542825,1196550608.37278,0.2308377653587524
,,8113,,,279062127.4884259,1212318461.191531,0.23018879644392187
,,6113,,,66280357.04941381,288693210.6388522,0.22958751576714023
,,5324,,,494234897.3880894,2162331472.794923,0.22856574193468396
,,6221,,,38182467.86219319,168382447.9647321,0.22676037985972594
,,5411,,,1086763669.3431962,4802360901.24264,0.22629779220924223
,,4591,,,7798570.768503001,34508782.685893856,0.22598799961990024
,,4594,,,4163925.9928190014,18499399.5120093,0.22508438666432903
,,o|OO,,,12116278.3721137,53984269.73320635,0.22444090532284883
Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales",4247,Petroleum and Petroleum Products Merchant Wholesalers,0.0,333780709.80393434,1494215213.4102707,0.22338195114620832
,,4599,,,16336278.870651798,73189584.4569557,0.22320496819133465
,,5178,,,57745789.22657389,259854537.51780528,0.2222235169652065
,,5612,,,68437546.754071,309137460.70970446,0.22138225046215695
,,4491,,,9342471.617406001,42208581.60860826,0.22134057249392725
,,4911,,,447999.07719900005,2038826.867456204,0.21973375196784506
,,4595,,,3099292.4961909996,14142996.994279398,0.21913972671030127
,,4492,,,9635720.965007488,44549254.60813807,0.2162936518189751
,,2379,,,8568143.465712301,40485318.041524254,0.211635819605623
,,2381,,,72775055.82030019,345048902.2694448,0.21091229487080346
,,5418,,,619337940.3858986,2954259557.994437,0.20964235817056964
,,6241,,,261294.136173972,1246468.8434482338,0.20962749092959868
,,5611,,,417638729.5475283,1997144101.4245055,0.2091179746367018
,,2371,,,41367240.62455292,199354586.52134094,0.20750583844793835
,,3341,,,5116852.095525259,24676145.244737305,0.20736026817707814
,,2383,,,87929020.9878329,424179628.1504314,0.20729194697829686
,,2382,,,225218942.2418133,1098116100.1730437,0.20509574734977729
,,2389,,,87620745.17611419,427510763.8876,0.20495564691594806
,,2362,,,83797185.7243316,409693462.5193247,0.20453630187076513
,,2373,,,30991482.46329496,151604497.1692526,0.2044232396925257
,,9011,,,286403368.2282249,1402574846.4951496,0.20419827786296701
,,5174,,,4522848.92036489,22193795.073777918,0.20378889258595792
,,3379,,,17410.369095744998,86002.31016954198,0.20244071422526674
,,2361,,,85856578.13759477,424411380.5552155,0.20229565480849523
,,5232,,,16421882.233816318,81355835.24123102,0.2018525430305426
,,5211,,,13700321.249760106,69001799.83669102,0.19855020133076437
,,5616,,,225537010.50334102,1136561888.2531772,0.19843794942832102
,,5182,,,479138816.02571464,2434145673.8449745,0.19684064974996643
,,2372,,,2572967.12763216,13210367.192254635,0.1947687819866745
,,3212,,,77417528.50105762,399642745.2766843,0.19371683689005595
,,5614,,,277712261.1483186,1446910837.128691,0.19193460579742574
,,6213,,,4961145.95413163,26349304.909411803,0.18828375060321006
,,3365,,,2292505.0224313093,12289523.331521563,0.18654141097167148
,,5412,,,804770302.327677,4369887694.287944,0.18416269676212152
,,5132,,,250962942.75961018,1372918103.5621386,0.18279527533978035
,,5415,,,582035971.3912407,3210663718.318983,0.1812821343046101
,,6216,,,2435227.9434745917,13666690.098005995,0.17818710499844417
,,8112,,,61292925.83171327,351854569.6648679,0.17419960152881672
,,5192,,,235807169.47833723,1367977796.7638478,0.17237645964442821
,,5241,,,1090160099.4619954,6360430527.18709,0.1713972182861213
,,5131,,,121802222.88745993,712750983.4924138,0.17089029087078958
,,6239,,,109166.83188190001,646419.9875152718,0.16887910954226323
,,5613,,,1600224019.0341146,9654396644.825191,0.16575080534855
,,vl|4,,,16745194157.627804,102292580003.91435,0.16369901078833898
,,5221,,,1157467877.1183138,7082278408.848329,0.16343156965874395
,,5231,,,340649251.492089,2109139045.00927,0.16151104513386494
,,5222,,,295715110.80027425,1846331690.0846112,0.16016358945056217
,,7213,,,5263482.582572999,32886373.424372535,0.16005056302961523
