adjustment_source,forecast_source,projection_label,segment_id,segment_name,year,value_type,employment_auto,employment_raw,auto_share_ratio
sam_mi,bls_us,BLS US,2,2. Equipment Manufacturing,2009,QCEW,4766.456353404982,39495.0,0.12068505768844112
sam_mi,bls_us,BLS US,3,3. Forging & Foundries,2009,QCEW,7444.944743432058,13152.0,0.5660693995918535
sam_mi,bls_us,BLS US,4,4. Parts & Machining,2009,QCEW,11381.080261284094,37232.0,0.30568006718102964
sam_mi,bls_us,BLS US,5,5. Component Systems,2009,QCEW,3708.3587351770866,13865.0,0.26746186333769106
sam_mi,bls_us,BLS US,6,6. Engineering & Design,2009,QCEW,587.9915569251524,77775.0,0.007560161451946672
sam_mi,bls_us,BLS US,7,7. Core Automotive,2009,QCEW,122598.0,122598.0,1.0
sam_mi,bls_us,BLS US,8,"8. Motor Vehicle Parts, Materials, & Products Sales",2009,QCEW,87246.23037465413,87246.23037465413,1.0
sam_mi,bls_us,BLS US,9,"9. Dealers, Maintenance, & Repair",2009,QCEW,58528.0,58528.0,1.0
sam_mi,bls_us,BLS US,10,10. Logistics,2009,QCEW,33872.0,33872.0,1.0
sam_mi,bls_us,BLS US,1,1. Materials & Processing,2010,QCEW,18899.93778255887,64137.0,0.2946807269214162
sam_mi,bls_us,BLS US,2,2. Equipment Manufacturing,2010,QCEW,4728.4710097765765,40126.0,0.117840577425524
sam_mi,bls_us,BLS US,3,3. Forging & Foundries,2010,QCEW,8069.098645828064,14405.0,0.5601595727752908
sam_mi,bls_us,BLS US,4,4. Parts & Machining,2010,QCEW,12321.62920423123,40120.0,0.3071193719898113
sam_mi,bls_us,BLS US,5,5. Component Systems,2010,QCEW,3644.743681456634,13189.0,0.276347234927336
sam_mi,bls_us,BLS US,6,6. Engineering & Design,2010,QCEW,609.1015190717915,80680.0,0.007549597410408918
sam_mi,bls_us,BLS US,7,7. Core Automotive,2010,QCEW,126033.0,126033.0,1.0
sam_mi,bls_us,BLS US,8,"8. Motor Vehicle Parts, Materials, & Products Sales",2010,QCEW,89086.81250254312,89086.81250254312,1.0
sam_mi,bls_us,BLS US,9,"9. Dealers, Maintenance, & Repair",2010,QCEW,57415.0,57415.0,1.0
sam_mi,bls_us,BLS US,10,10. Logistics,2010,QCEW,34234.0,34234.0,1.0
sam_mi,bls_us,BLS US,1,1. Materials & Processing,2011,QCEW,20536.11973842198,69846.0,0.29401998308309685
sam_mi,bls_us,BLS US,2,2. Equipment Manufacturing,2011,QCEW,5218.672473726224,44416.0,0.11749532766854791
sam_mi,bls_us,BLS US,3,3. Forging & Foundries,2011,QCEW,9328.231486078708,16777.0,0.5560130825581873
sam_mi,bls_us,BLS US,4,4. Parts & Machining,2011,QCEW,13891.087724183999,44729.0,0.3105611063109839
sam_mi,bls_us,BLS US,5,5. Component Systems,2011,QCEW,4381.646917445001,14492.0,0.30234935947039754
sam_mi,bls_us,BLS US,6,6. Engineering & Design,2011,QCEW,663.4546497143456,86598.0,0.007661316077904173
sam_mi,bls_us,BLS US,7,7. Core Automotive,2011,QCEW,137663.0,137663.0,1.0
