forecast_source,projection_label,segment_id,segment_name_norm,segment_label,base_raw,target_raw,raw_change,base_auto,target_auto,auto_change
dtmb_mi,DTMB MI,9,Dealers Maintenance Repair,9-Dealers Maintenance Repair,69600.0,69272.77199999998,-327.22800000001735,69600.0,69272.77199999998,-327.22800000001735
dtmb_mi,DTMB MI,10,Logistics,10-Logistics,46889.0,47498.556999999964,609.5569999999643,46889.0,47498.556999999964,609.5569999999643
moodys_mi,Moody's MI,1,Materials Processing,1-Materials Processing,72604.0,67739.121,-4864.879000000001,21247.66878566509,19652.47629338272,-1595.192492282371
moodys_mi,Moody's MI,2,Equipment Manufacturing,2-Equipment Manufacturing,47550.0,45438.293999999994,-2111.7060000000056,6244.586842570626,6107.466445385027,-137.12039718559845
moodys_mi,Moody's MI,3,Forging Foundries,3-Forging Foundries,16337.0,13902.582999999999,-2434.4170000000013,9023.139594640334,7469.677278379073,-1553.4623162612606
moodys_mi,Moody's MI,4,Parts Machining,4-Parts Machining,50443.0,48323.56799999999,-2119.432000000008,14936.444494648236,14209.035853494921,-727.4086411533153
moodys_mi,Moody's MI,5,Component Systems,5-Component Systems,18283.0,17913.307,-369.6929999999993,5987.024880706003,5868.690563094324,-118.33431761167958
moodys_mi,Moody's MI,6,Engineering Design,6-Engineering Design,120207.0,124630.66500000004,4423.665000000037,1032.0255054257461,1047.841623193173,15.816117767426931
moodys_mi,Moody's MI,7,Core Automotive,7-Core Automotive,173082.0,174973.012,1891.011999999988,173082.0,174973.012,1891.011999999988
moodys_mi,Moody's MI,8,Motor Vehicle Parts Materials Products Sales,8-Motor Vehicle Parts Materials Products Sales,115340.0,116956.14599999998,1616.1459999999788,115340.0,116956.14599999998,1616.1459999999788
moodys_mi,Moody's MI,9,Dealers Maintenance Repair,9-Dealers Maintenance Repair,69600.0,71696.00399999999,2096.0039999999863,69600.0,71696.00399999999,2096.0039999999863
moodys_mi,Moody's MI,10,Logistics,10-Logistics,46889.0,41723.847000000016,-5165.152999999984,46889.0,41723.847000000016,-5165.152999999984
moodys_mi_detail,Moody's MI (detail),1,Materials Processing,1-Materials Processing,72604.0,67725.60786988678,-4878.392130113221,21247.66878566509,19649.73515071348,-1597.9336349516088
moodys_mi_detail,Moody's MI (detail),2,Equipment Manufacturing,2-Equipment Manufacturing,47550.0,45426.52919430201,-2123.470805697987,6244.586842570626,6105.364701206261,-139.2221413643647
moodys_mi_detail,Moody's MI (detail),3,Forging Foundries,3-Forging Foundries,16337.0,13903.939483699152,-2433.0605163008477,9023.139594640334,7470.890075979913,-1552.249518660421
moodys_mi_detail,Moody's MI (detail),4,Parts Machining,4-Parts Machining,50443.0,48317.309421580234,-2125.690578419766,14936.444494648236,14206.889340782625,-729.5551538656109
moodys_mi_detail,Moody's MI (detail),5,Component Systems,5-Component Systems,18283.0,17913.866047608648,-369.13395239135207,5987.024880706003,5870.490278329624,-116.53460237637955
moodys_mi_detail,Moody's MI (detail),6,Engineering Design,6-Engineering Design,120207.0,124658.88701589944,4451.88701589944,1032.0255054257461,1047.992311069022,15.966805643275848
moodys_mi_detail,Moody's MI (detail),7,Core Automotive,7-Core Automotive,173082.0,175004.8842921995,1922.8842921995092,173082.0,175004.8842921995,1922.8842921995092
moodys_mi_detail,Moody's MI (detail),8,Motor Vehicle Parts Materials Products Sales,8-Motor Vehicle Parts Materials Products Sales,115340.0,116941.32953853875,1601.3295385387464,115340.0,116941.32953853875,1601.3295385387464
