segment_id,segment_name,year,methodology,projection_method,projection_label,occcd,soctitle,employment,employment_auto,employment_raw,share,share_2024,share_2034,ep_entry_education,ep_work_experience,ep_on_the_job_training,ep_edu_grouped,empl_2021,ep_openings_annual_avg,openings
2,Equipment Manufacturing,2030,sam_mi_bls_us,bls_us,BLS US,11-3012,Administrative Services Managers,3.9682490539746618,3.9682490539746618,29.907743625807885,0.0006437180053999741,0.0006361323155216031,0.0010750376263169,Bachelor's degree,Less than 5 years,,BA+,30.0,23.2,23.175853574726943
4,Parts & Machining,2030,sam_mi_bls_us,bls_us,BLS US,11-3012,Administrative Services Managers,11.579289195499756,11.579289195499756,39.21259807108088,0.0007862379828415158,0.0007747433662599035,0.0009323614171893,Bachelor's degree,Less than 5 years,,BA+,,23.2,23.214791632584898
5,Component Systems,2030,sam_mi_bls_us,bls_us,BLS US,11-3012,Administrative Services Managers,18.51127102342455,18.51127102342455,56.35373432956602,0.0029575420790497833,0.0031113876789047113,0.0010973936899862,Bachelor's degree,Less than 5 years,,BA+,,23.2,23.054676556559013
6,Engineering & Design,2030,sam_mi_bls_us,bls_us,BLS US,11-3012,Administrative Services Managers,1.861580666137061,1.861580666137061,217.62508690537544,0.0017603008734200995,0.0017871649065800152,0.002208855812689,Bachelor's degree,Less than 5 years,,BA+,90.0,23.2,23.41611197892434
7,Core Automotive,2030,sam_mi_bls_us,bls_us,BLS US,11-3012,Administrative Services Managers,33.933132529387656,33.933132529387656,33.933132529387656,0.0002143859325153505,0.00022909507445580162,0.0004364429896344,Bachelor's degree,Less than 5 years,,BA+,90.0,23.2,19.85382919649353
8,"Motor Vehicle Parts, Materials, & Products Sales",2030,sam_mi_bls_us,bls_us,BLS US,11-3012,Administrative Services Managers,159.40161306933945,159.40161306933945,159.40161306933945,0.0013877601409662684,0.0013547687861271086,0.0011059869368335,Bachelor's degree,Less than 5 years,,BA+,170.0,23.2,23.666583497929736
0,0. All Segments,2030,sam_mi_bls_us,bls_us,BLS US,11-3012,Administrative Services Managers,287.1687588652346,287.1687588652346,606.4499280257472,0.0006398864508227329,0.0006175784435720925,0.000654801447247259,Bachelor's degree,Less than 5 years,,BA+,380.0,185.6,185.3394620010963
1,Materials & Processing - Non-Metals,2030,sam_mi_bls_us,bls_us,BLS US,11-3013,Facilities Managers,25.42128455726946,25.42128455726946,93.84372120564795,0.0019198404927372279,0.0019139552300907123,0.0016451233842538,Bachelor's degree,Less than 5 years,,BA+,40.0,13.2,13.501559126693731
2,Equipment Manufacturing,2030,sam_mi_bls_us,bls_us,BLS US,11-3013,Facilities Managers,9.259247792607358,9.259247792607358,69.78473512688365,0.001502008679266576,0.0014843087362171072,0.0008600301010535,Bachelor's degree,Less than 5 years,,BA+,,13.2,13.186261516654422
4,Parts & Machining,2030,sam_mi_bls_us,bls_us,BLS US,11-3013,Facilities Managers,8.684466896624086,8.684466896624086,29.409448553308184,0.0005896784871310872,0.0005810575246949027,0.0011018816748601,Bachelor's degree,Less than 5 years,,BA+,,13.2,13.208415928883966
6,Engineering & Design,2030,sam_mi_bls_us,bls_us,BLS US,11-3013,Facilities Managers,1.3672446626269124,1.3672446626269124,159.83553328501603,0.001292859352044819,0.001299756295694511,0.0014612430760865,Bachelor's degree,Less than 5 years,,BA+,90.0,13.2,13.454507577063762
7,Core Automotive,2030,sam_mi_bls_us,bls_us,BLS US,11-3013,Facilities Managers,438.64267524653695,438.64267524653695,438.64267524653695,0.002771297901610319,0.00280641466208472,0.0015275504637206,Bachelor's degree,Less than 5 years,,BA+,190.0,13.2,11.920132070162035
8,"Motor Vehicle Parts, Materials, & Products Sales",2030,sam_mi_bls_us,bls_us,BLS US,11-3013,Facilities Managers,65.37121409857623,65.37121409857623,65.37121409857623,0.0005691257669589165,0.0005419075144508035,0.00054255962939,Bachelor's degree,Less than 5 years,,BA+,70.0,13.2,13.805602405921157
0,0. All Segments,2030,sam_mi_bls_us,bls_us,BLS US,11-3013,Facilities Managers,548.746133254241,548.746133254241,856.887327515969,0.0012227486617913716,0.0012783973534578022,0.0011872804317866882,Bachelor's degree,Less than 5 years,,BA+,390.0,79.19999999999999,79.07647862537907
1,Materials & Processing - Non-Metals,2030,sam_mi_bls_us,bls_us,BLS US,11-3021,Computer and Information Systems Managers,12.505729218044694,12.505729218044694,46.1654155818776,0.0009444450098468241,0.0009153698926520059,0.0019271445358401,Bachelor's degree,5 years or more,,BA+,150.0,55.6,58.49671292652992
10,Logistics,2030,sam_mi_bls_us,bls_us,BLS US,11-3021,Computer and Information Systems Managers,131.02937161722517,131.02937161722517,131.02937161722517,0.0027722804062673416,0.002555366269165205,0.0004536322986196,Bachelor's degree,5 years or more,,BA+,,55.6,60.80220389068895
2,Equipment Manufacturing,2030,sam_mi_bls_us,bls_us,BLS US,11-3021,Computer and Information Systems Managers,13.786550014831512,13.786550014831512,103.90592871557995,0.0022364146897497104,0.00212044105173871,0.0032251128789507,Bachelor's degree,5 years or more,,BA+,160.0,55.6,57.88959071119153
3,Forging & Foundries,2030,sam_mi_bls_us,bls_us,BLS US,11-3021,Computer and Information Systems Managers,22.411586807983163,22.411586807983163,40.75807338026188,0.0027026220837778107,0.0025125628140703076,0.0021417445482866,Bachelor's degree,5 years or more,,BA+,,55.6,54.96329929895925
4,Parts & Machining,2030,sam_mi_bls_us,bls_us,BLS US,11-3021,Computer and Information Systems Managers,22.095713742757894,22.095713742757894,74.825866032015,0.0015003070662835912,0.0013558008909548063,0.0056789286319715,Bachelor's degree,5 years or more,,BA+,50.0,55.6,60.66520676291876
5,Component Systems,2030,sam_mi_bls_us,bls_us,BLS US,11-3021,Computer and Information Systems Managers,47.49307493166302,47.49307493166302,144.58283949310243,0.007587959108594611,0.007467330429371527,0.0104252400548696,Bachelor's degree,5 years or more,,BA+,120.0,55.6,59.06478781527588
6,Engineering & Design,2030,sam_mi_bls_us,bls_us,BLS US,11-3021,Computer and Information Systems Managers,7.785107324187545,7.785107324187545,910.1054221355183,0.007361556483541373,0.00706742485783916,0.0095830359873585,Bachelor's degree,5 years or more,,BA+,1090.0,55.6,59.345496196882166
7,Core Automotive,2030,sam_mi_bls_us,bls_us,BLS US,11-3021,Computer and Information Systems Managers,281.259996918153,281.259996918153,281.259996918153,0.0017769708312765353,0.0016609392898052117,0.0019639934533551,Bachelor's degree,5 years or more,,BA+,180.0,55.6,54.397268898303004
8,"Motor Vehicle Parts, Materials, & Products Sales",2030,sam_mi_bls_us,bls_us,BLS US,11-3021,Computer and Information Systems Managers,222.18624685502846,222.18624685502846,222.18624685502846,0.001934366982360288,0.0018063583815028114,0.0019615617370255,Bachelor's degree,5 years or more,,BA+,180.0,55.6,59.293638182742946
0,0. All Segments,2030,sam_mi_bls_us,bls_us,BLS US,11-3021,Computer and Information Systems Managers,760.5533774298744,760.5533774298744,1954.8191607287617,0.0016947101184263326,0.001587660833118998,0.001768216358972931,Bachelor's degree,5 years or more,,BA+,1930.0,500.40000000000003,524.9182046834924
1,Materials & Processing - Non-Metals,2030,sam_mi_bls_us,bls_us,BLS US,11-3031,Financial Managers,37.204628431686004,37.204628431686004,137.34242147509653,0.0028097302486615816,0.002662894233169617,0.0039482961222091,Bachelor's degree,5 years or more,,BA+,320.0,74.6,80.26499003817423
10,Logistics,2030,sam_mi_bls_us,bls_us,BLS US,11-3031,Financial Managers,190.27041254039924,190.27041254039924,190.27041254039924,0.0040256847000616275,0.003833049403747808,0.0013608968958589,Bachelor's degree,5 years or more,,BA+,70.0,74.6,78.97592109238343
