segment_id,segment_name,year,adjustment_source,forecast_source,value_type,employment_qcew
1,Materials & Processing - Non-Metals,2025,sam_mi,dtmb_mi,Forecast,12946.100688128101
2,Equipment Manufacturing,2025,sam_mi,dtmb_mi,Forecast,6225.711013322198
3,Forging & Foundries,2025,sam_mi,dtmb_mi,Forecast,8958.752780668667
4,Parts & Machining,2025,sam_mi,dtmb_mi,Forecast,14890.157118533889
5,Component Systems,2025,sam_mi,dtmb_mi,Forecast,5999.655707535056
6,Engineering & Design,2025,sam_mi,dtmb_mi,Forecast,1040.4014402811324
7,Core Automotive,2025,sam_mi,dtmb_mi,Forecast,172175.96843442303
8,"Motor Vehicle Parts, Materials, & Products Sales",2025,sam_mi,dtmb_mi,Forecast,115039.46777036448
9,"Dealers, Maintenance, & Repair",2025,sam_mi,dtmb_mi,Forecast,69545.31139385121
10,Logistics,2025,sam_mi,dtmb_mi,Forecast,46990.046870743856
1,Materials & Processing - Coatings & Surface Treatments,2026,sam_mi,dtmb_mi,Forecast,4862.506309340252
1,Materials & Processing - Metals,2026,sam_mi,dtmb_mi,Forecast,3326.438627811533
1,Materials & Processing - Non-Metals,2026,sam_mi,dtmb_mi,Forecast,12906.92084419293
2,Equipment Manufacturing,2026,sam_mi,dtmb_mi,Forecast,6206.8922409998395
3,Forging & Foundries,2026,sam_mi,dtmb_mi,Forecast,8894.855312220801
4,Parts & Machining,2026,sam_mi,dtmb_mi,Forecast,14844.123258010753
5,Component Systems,2026,sam_mi,dtmb_mi,Forecast,6012.554878468965
6,Engineering & Design,2026,sam_mi,dtmb_mi,Forecast,1048.8879227954492
7,Core Automotive,2026,sam_mi,dtmb_mi,Forecast,171274.67966820026
8,"Motor Vehicle Parts, Materials, & Products Sales",2026,sam_mi,dtmb_mi,Forecast,114740.28230307177
9,"Dealers, Maintenance, & Repair",2026,sam_mi,dtmb_mi,Forecast,69490.68313199756
10,Logistics,2026,sam_mi,dtmb_mi,Forecast,47091.31149981242
1,Materials & Processing - Coatings & Surface Treatments,2027,sam_mi,dtmb_mi,Forecast,4854.020613605728
1,Materials & Processing - Metals,2027,sam_mi,dtmb_mi,Forecast,3298.7008676072414
1,Materials & Processing - Non-Metals,2027,sam_mi,dtmb_mi,Forecast,12867.871802606483
2,Equipment Manufacturing,2027,sam_mi,dtmb_mi,Forecast,6188.130353134689
3,Forging & Foundries,2027,sam_mi,dtmb_mi,Forecast,8831.443317165129
4,Parts & Machining,2027,sam_mi,dtmb_mi,Forecast,14798.341936801278
5,Component Systems,2027,sam_mi,dtmb_mi,Forecast,6025.724698403346
6,Engineering & Design,2027,sam_mi,dtmb_mi,Forecast,1057.486707212061
7,Core Automotive,2027,sam_mi,dtmb_mi,Forecast,170378.10887422127
8,"Motor Vehicle Parts, Materials, & Products Sales",2027,sam_mi,dtmb_mi,Forecast,114442.4358591397
9,"Dealers, Maintenance, & Repair",2027,sam_mi,dtmb_mi,Forecast,69436.11513798672
10,Logistics,2027,sam_mi,dtmb_mi,Forecast,47192.79435647988
1,Materials & Processing - Coatings & Surface Treatments,2028,sam_mi,dtmb_mi,Forecast,4845.589126839516
1,Materials & Processing - Metals,2028,sam_mi,dtmb_mi,Forecast,3271.194400815285
1,Materials & Processing - Non-Metals,2028,sam_mi,dtmb_mi,Forecast,12828.953129952952
2,Equipment Manufacturing,2028,sam_mi,dtmb_mi,Forecast,6169.425177779213
