orig_sort,naics_code,industry_name,segment_id,segment_name,stage,employment_qcew_raw_2018,employment_mi_qcew_raw_2024,mi_qcew_2018_24_six_year_employment_percent_change,moodys_mi_level_change_emp_24_30,moodys_mi_pct_change_2024_2030_employment,moodys_mi_pct_change_2024_2030_gdp, moodys_us_level_change_emp_24_30 ,moodys_us_pct_change_2024_2030_employment,moodys_us_pct_change_2024_2030_gdp,source_mi_dtmb_ind_proj,mi_dtmb_ind_proj_22_32_10yr_percent_change,mi_dtmb_ind_proj_22_32_annual_rate,mi_dtmb_ind_proj_22_32_six_year_rate,bls_source_url,"bls_us_Employment Percent Change, 2024-2034",bls_us_annual_employment_rate_change,bls_us_six_year_employment_rate_change,NAICS-Title
25,3361,Motor Vehicle Manufacturing,7,Core Automotive,OEM," 39,490 "," 48,138 ",21.9," 13,231 ",27.2,42.9," 95,278 ",31.6,46.7,336000-Transportation Equipment Manufacturing,-5.1,-0.5,-3.1,https://data.bls.gov/projections/nationalMatrix?queryParams=336100&ioType=i,5.4,0.5,3.2,3361- Motor Vehicle Manufacturing
26,3362,Motor Vehicle Body and Trailer Manufacturing,7,Core Automotive,OEM," 9,041 "," 7,921 ",-12.4, 31 ,0.4,29.6," 7,053 ",4.3,36.4,336000-Transportation Equipment Manufacturing,-5.1,-0.5,-3.1,https://data.bls.gov/projections/nationalMatrix?queryParams=336200&ioType=i,3.4,0.3,2.0,3362- Motor Vehicle Body and Trailer Manufacturing
27,3363,Motor Vehicle Parts Manufacturing,7,Core Automotive,OEM," 134,464 "," 117,023 ",-13.0," (11,325)",-9.6,12.3," (29,525)",-5.3,21.9,336000-Transportation Equipment Manufacturing,-5.1,-0.5,-3.1,https://data.bls.gov/projections/nationalMatrix?queryParams=336300&ioType=i,-22.4,-2.5,-14.1,3363- Motor Vehicle Parts Manufacturing
28,4231,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream," 22,017 "," 25,978 ",18.0, 957 ,3.7,25.1," 20,443 ",5.4,28.3,"423000-Merchant Wholesalers, Durable Goods",-1.6,-0.2,-1.0,https://data.bls.gov/projections/nationalMatrix?queryParams=423100&ioType=i,4.5,0.4,2.7,4231- Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers
29,4235,Metal and Mineral (except Petroleum) Merchant Wholesalers,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream," 7,191 "," 6,359 ",-11.6, (51),-0.8,22.5," 8,603 ",6.3,27.6,"423000-Merchant Wholesalers, Durable Goods",-1.6,-0.2,-1.0,https://data.bls.gov/projections/nationalMatrix?queryParams=4230A1&ioType=i,3.4,0.3,2.0,4235- Metal and Mineral (except Petroleum) Merchant Wholesalers
30,4238,"Machinery, Equipment, and Supplies Merchant Wholesalers",8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream," 25,165 "," 24,407 ",-3.0, 244 ,1.0,18.1," 19,985 ",2.6,21.7,"423000-Merchant Wholesalers, Durable Goods",-1.6,-0.2,-1.0,https://data.bls.gov/projections/nationalMatrix?queryParams=423800&ioType=i,4,0.4,2.4,"4238- Machinery, Equipment, and Supplies Merchant Wholesalers"
31,4239,Miscellaneous Durable Goods Merchant Wholesalers,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream," 7,792 "," 8,732 ",12.1, 20 ,0.2,23.0," 14,679 ",4.6,28.3,"423000-Merchant Wholesalers, Durable Goods",-1.6,-0.2,-1.0,https://data.bls.gov/projections/nationalMatrix?queryParams=4230A1&ioType=i,3.4,0.3,2.0,4239- Miscellaneous Durable Goods Merchant Wholesalers
32,4247,Petroleum and Petroleum Products Merchant Wholesalers,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream," 3,442 "," 3,846 ",11.7, (207),-5.7,18.0," (5,000)",-5.0,20.0,"424000-Merchant Wholesalers, Nondurable Goods",-1.5,-0.1,-0.9,https://data.bls.gov/projections/nationalMatrix?queryParams=4240A3&ioType=i,1.2,0.1,0.7,4247- Petroleum and Petroleum Products Merchant Wholesalers
33,4413,"Automotive Parts, Accessories, and Tire Stores",8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream," 17,572 "," 18,192 ",3.5, 208 ,1.2,40.6," 26,331 ",4.5,38.9,441000-Motor Vehicle and Parts Dealers,-0.4,0.0,-0.2,https://data.bls.gov/projections/nationalMatrix?queryParams=441300&ioType=i,3,0.3,1.8,"4413- Automotive Parts, Accessories, and Tire Stores"
34,4571,Gasoline Stations,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream," 27,341 "," 27,826 ",1.8, 430 ,1.6,-4.3," 36,292 ",3.8,-5.7,457000-Gasoline Stations and Fuel Dealers,-6.2,-0.6,-3.8,https://data.bls.gov/projections/nationalMatrix?queryParams=457100&ioType=i,-14.1,-1.5,-8.7,4571- Gasoline Stations
35,4411,Automobile Dealers,9,"Dealers, Maintenance, & Repair",Downstream," 39,716 "," 38,262 ",-3.7, 156 ,0.4,35.6," 43,135 ",3.4,34.8,441000-Motor Vehicle and Parts Dealers,-0.4,0.0,-0.2,https://data.bls.gov/projections/nationalMatrix?queryParams=441100&ioType=i,2.7,0.3,1.6,4411- Automobile Dealers
36,8111,Automotive Repair and Maintenance,9,"Dealers, Maintenance, & Repair",Downstream," 28,824 "," 31,338 ",8.7," 1,919 ",6.2,12.1," 54,300 ",5.2,15.0,811000-Repair and Maintenance,-1.4,-0.1,-0.8,https://data.bls.gov/projections/nationalMatrix?queryParams=811100&ioType=i,1.5,0.2,0.9,8111- Automotive Repair and Maintenance
37,4841,General Freight Trucking,10,Logistics,Downstream," 36,045 "," 35,249 ",-2.2," (3,430)",-9.7,11.1," (131,790)",-12.4,15.3,484000-Truck Transportation,2.1,0.2,1.3,https://data.bls.gov/projections/nationalMatrix?queryParams=484000&ioType=i,1.4,0.1,0.8,4841- General Freight Trucking
38,4842,Specialized Freight Trucking,10,Logistics,Downstream," 11,457 "," 11,640 ",1.6," (1,749)",-15.0,14.9," (52,420)",-11.5,24.0,484000-Truck Transportation,2.1,0.2,1.3,https://data.bls.gov/projections/nationalMatrix?queryParams=484000&ioType=i,1.4,0.1,0.8,4842- Specialized Freight Trucking
,,Total,,,," 755,774 "," 730,335 ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
