share_method,share_label,projection_method,projection_label,segment_id,segment_name,base_employment,auto_base_employment,projected_employment
bea_detail_inputs,BEA Detail (Intermediate Inputs),dtmb_mi,DTMB MI,1,Materials & Processing - Coatings & Surface Treatments,15568,1470,1457
bea_detail_inputs,BEA Detail (Intermediate Inputs),dtmb_mi,DTMB MI,1,Materials & Processing - Metals,9192,825,784
bea_detail_inputs,BEA Detail (Intermediate Inputs),dtmb_mi,DTMB MI,1,Materials & Processing - Non-Metals,47844,2939,2887
bea_detail_inputs,BEA Detail (Intermediate Inputs),dtmb_mi,DTMB MI,2,Equipment Manufacturing,47550,2664,2616
bea_detail_inputs,BEA Detail (Intermediate Inputs),dtmb_mi,DTMB MI,3,Forging & Foundries,16337,4568,4372
bea_detail_inputs,BEA Detail (Intermediate Inputs),dtmb_mi,DTMB MI,4,Parts & Machining,50443,3980,3897
bea_detail_inputs,BEA Detail (Intermediate Inputs),dtmb_mi,DTMB MI,5,Component Systems,18283,1473,1475
bea_detail_inputs,BEA Detail (Intermediate Inputs),dtmb_mi,DTMB MI,6,Engineering & Design,120207,546,564
bea_detail_inputs,BEA Detail (Intermediate Inputs),dtmb_mi,DTMB MI,7,Core Automotive,173082,173082,167716
bea_detail_inputs,BEA Detail (Intermediate Inputs),dtmb_mi,DTMB MI,8,"Motor Vehicle Parts, Materials, & Products Sales",115340,115340,113557
bea_detail_inputs,BEA Detail (Intermediate Inputs),dtmb_mi,DTMB MI,9,"Dealers, Maintenance, & Repair",69600,69600,69272
bea_detail_inputs,BEA Detail (Intermediate Inputs),dtmb_mi,DTMB MI,10,Logistics,46889,46889,47498
bea_detail_inputs,BEA Detail (Intermediate Inputs),bls_us,BLS US,1,Materials & Processing - Coatings & Surface Treatments,15568,1470,1433
bea_detail_inputs,BEA Detail (Intermediate Inputs),bls_us,BLS US,1,Materials & Processing - Metals,9192,825,829
bea_detail_inputs,BEA Detail (Intermediate Inputs),bls_us,BLS US,1,Materials & Processing - Non-Metals,47844,2939,2994
bea_detail_inputs,BEA Detail (Intermediate Inputs),bls_us,BLS US,2,Equipment Manufacturing,47550,2664,2610
bea_detail_inputs,BEA Detail (Intermediate Inputs),bls_us,BLS US,3,Forging & Foundries,16337,4568,4192
bea_detail_inputs,BEA Detail (Intermediate Inputs),bls_us,BLS US,4,Parts & Machining,50443,3980,3911
bea_detail_inputs,BEA Detail (Intermediate Inputs),bls_us,BLS US,5,Component Systems,18283,1473,1497
