segment,occcd,soctitle,empl_2021,empl_2024,occ_level,is_total_all,pct_seg_major_2021,pct_seg_detailed_2021,pct_seg_major_2024,pct_seg_detailed_2024,level_change_2021_2024,pct_change_2021_2024,ep_title,ep_type,ep_employment_2024,ep_employment_2034,ep_change_numeric,ep_change_percent,ep_openings_annual_avg,ep_median_annual_wage_2024,ep_entry_education,ep_work_experience,ep_on_the_job_training,ep_edu_grouped
Total,17-3021,Aerospace Engineering and Operations Technologists and Technicians,,40.0,detailed,False,,,,5.543775033609136e-05,,,        Aerospace engineering and operations technologists and technicians,Line item,9.3,10.1,0.8,8.1,0.9,79830,Associate's degree,nan,nan,SC or associate's
Total,17-3022,Civil Engineering Technologists and Technicians,750.0,1550.0,detailed,False,,0.0010866730418151787,,0.00214821282552354,800.0,106.66666666666669,        Civil engineering technologists and technicians,Line item,64.9,66.2,1.4,2.1,5.5,64200,Associate's degree,nan,nan,SC or associate's
Total,17-3023,Electrical and Electronic Engineering Technologists and Technicians,1300.0,1380.0,detailed,False,,0.0018835666058129763,,0.001912602386595152,80.0,6.153846153846154,        Electrical and electronic engineering technologists and technicians,Line item,93.7,94.3,0.6,0.6,8.4,77180,Associate's degree,nan,nan,SC or associate's
Total,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,770.0,390.0,detailed,False,,0.0011156509895969167,,0.0005405180657768908,-380.0,-49.350649350649356,        Electro-mechanical and mechatronics technologists and technicians,Line item,15.0,15.1,0.2,1.1,1.3,70760,Associate's degree,nan,nan,SC or associate's
Total,17-3025,Environmental Engineering Technologists and Technicians,170.0,100.0,detailed,False,,0.00024631255614477384,,0.0001385943758402284,-70.0,-41.17647058823529,        Environmental engineering technologists and technicians,Line item,12.9,13.0,0.1,1.2,1.1,58890,Associate's degree,nan,nan,SC or associate's
Total,17-3026,Industrial Engineering Technologists and Technicians,3740.0,4200.0,detailed,False,,0.005418876235185024,,0.005820963785289593,460.0,12.299465240641716,        Industrial engineering technologists and technicians,Line item,74.6,75.9,1.3,1.7,6.3,64790,Associate's degree,nan,nan,SC or associate's
Total,17-3027,Mechanical Engineering Technologists and Technicians,4660.0,4050.0,detailed,False,,0.006751861833144976,,0.00561307222152925,-610.0,-13.090128755364805,        Mechanical engineering technologists and technicians,Line item,38.3,38.3,0.0,0.0,3.2,68730,Associate's degree,nan,nan,SC or associate's
Total,17-3028,Calibration Technologists and Technicians,390.0,160.0,detailed,False,,0.0005650699817438929,,0.00022175100134436544,-230.0,-58.97435897435898,        Calibration technologists and technicians,Line item,15.8,16.5,0.7,4.7,1.4,65040,Associate's degree,nan,nan,SC or associate's
Total,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",860.0,620.0,detailed,False,,0.0012460517546147383,,0.0008592851302094161,-240.0,-27.906976744186053,"        Engineering technologists and technicians, except drafters, all other",Line item,67.3,68.3,1.0,1.5,5.7,77390,Associate's degree,nan,nan,SC or associate's
Total,17-3031,Surveying and Mapping Technicians,1000.0,930.0,detailed,False,,0.0014488973890869048,,0.0012889276953141242,-70.0,-6.999999999999995,      Surveying and mapping technicians,Line item,59.4,62.1,2.7,4.5,7.6,51940,High school diploma or equivalent,nan,Moderate-term on-the-job training,HS or less
Total,19-0000,"Life, Physical, and Social Science Occupations",,7950.0,major,False,,,0.010974751169949889,,,,"  Life, physical, and social science occupations",Summary,1609.5,1690.4,80.9,5.0,144.7,78980,—,—,—,
Total,19-1000,Life Scientists,2000.0,,broad,False,,,,,,,,,,,,,,,,,,
Total,19-1012,Food Scientists and Technologists,40.0,60.0,detailed,False,,5.79558955634762e-05,,8.315662550413704e-05,20.0,50.0,        Food scientists and technologists,Line item,15.2,16.2,1.0,6.5,1.2,85310,Bachelor's degree,nan,nan,BA+
Total,19-1013,Soil and Plant Scientists,70.0,,detailed,False,,0.00010142281723608334,,,,,        Soil and plant scientists,Line item,20.7,21.8,1.1,5.4,1.7,71410,Bachelor's degree,nan,nan,BA+
Total,19-1021,Biochemists and Biophysicists,200.0,760.0,detailed,False,,0.000289779477817381,,0.0010533172563857358,560.0,280.0,        Biochemists and biophysicists,Line item,35.6,37.6,2.1,5.8,2.9,103650,Doctoral or professional degree,nan,nan,BA+
Total,19-1022,Microbiologists,130.0,80.0,detailed,False,,0.00018835666058129763,,0.00011087550067218272,-50.0,-38.46153846153846,        Microbiologists,Line item,20.7,21.6,0.8,4.1,1.7,87330,Bachelor's degree,nan,nan,BA+
Total,19-1029,"Biological Scientists, All Other",140.0,230.0,detailed,False,,0.00020284563447216667,,0.0003187670644325253,90.0,64.28571428571428,"        Biological scientists, all other",Line item,63.7,64.5,0.8,1.2,4.8,93330,Bachelor's degree,nan,nan,BA+
Total,19-1042,"Medical Scientists, Except Epidemiologists",1400.0,1710.0,detailed,False,,0.0020284563447216667,,0.002369963826867906,310.0,22.142857142857153,"        Medical scientists, except epidemiologists",Line item,165.3,179.6,14.3,8.7,9.6,100590,Doctoral or professional degree,nan,nan,BA+
Total,19-2000,Physical Scientists,2150.0,,broad,False,,,,,,,,,,,,,,,,,,
Total,19-2012,Physicists,70.0,50.0,detailed,False,,0.00010142281723608334,,6.92971879201142e-05,-20.0,-28.57142857142857,        Physicists,Line item,24.6,25.6,1.0,4.0,1.7,166290,Doctoral or professional degree,nan,nan,BA+
Total,19-2031,Chemists,1540.0,1230.0,detailed,False,,0.0022313019791938334,,0.0017047108228348093,-310.0,-20.12987012987013,        Chemists,Line item,86.8,91.0,4.3,4.9,6.3,84150,Bachelor's degree,nan,nan,BA+
Total,19-2032,Materials Scientists,110.0,80.0,detailed,False,,0.00015937871279955953,,0.00011087550067218272,-30.0,-27.27272727272727,        Materials scientists,Line item,8.7,9.1,0.4,4.9,0.6,104160,Bachelor's degree,nan,nan,BA+
