naics_code,mv_purchase_alloc,intermediate_alloc,total_output_alloc,naics_title,segment_id,segment_name,stage,employment_qcew_2024,mi_employment_pct_change_2024_2030,mi_wage_pct_change_2024_2030,mi_gdp_pct_change_2024_2030,share_of_intermediate_inputs_industry,share_of_industry_output_to_motor_vehicles
3321,4997.416207348022,29109.10909574428,29588.841258540095,Forging and Stamping,3,Forging & Foundries,Upstream,6988,-4.215445014961645,1.3093353913429064,20.671709925631955,0.17167877556509067,0.1688952995381541
3326,650.9040475081465,10212.861726714787,8788.623323119253,Spring and Wire Product Manufacturing,4,Parts & Machining,Upstream,2869,-1.3137819692068808,2.1758793057528187,13.027319100230372,0.06373375699442917,0.07406211685007431
3327,8049.168797615516,65403.67718801774,65711.15934526813,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",4,Parts & Machining,Upstream,24530,-6.612320553472944,1.4181334330958013,22.52279892131704,0.1230690558036416,0.12249317890318334
3328,1596.2456982377857,24975.478399031363,25428.004683485626,"Coating, Engraving, Heat Treating, and Allied Activities",1,Materials & Processing - Coatings & Surface Treatments,Upstream,11221,-3.21027690266793,6.794475967426446,25.26277384432373,0.06391251741947389,0.06277510634857156
3329,1940.835162097514,68488.35891129373,68786.7559096672,Other Fabricated Metal Product Manufacturing,4,Parts & Machining,Upstream,10865,-0.8704164469529019,13.034041304870549,27.65542711728528,0.02833817590243749,0.0282152448742644
3335,715.3546464899505,14221.84899696556,32581.473615229766,Metalworking Machinery Manufacturing,2,Equipment Manufacturing,Upstream,29604,-7.811404327376457,-4.021880535343775,3.809586577382275,0.05029969356604629,0.02195587145437055
3336,8241.327466825309,38574.271150423425,46519.060859465484,"Engine, Turbine, and Power Transmission Equipment Manufacturing",5,Component Systems,Upstream,4970,-4.464605443600771,7.993962723854358,11.358846866630577,0.2136483003058593,0.1771602288301227
3339,3359.7449486285195,51136.2933952162,103682.92454972895,Other General Purpose Machinery Manufacturing,2,Equipment Manufacturing,Upstream,17946,1.053256053597212,10.11815420057279,16.39233001955671,0.06570176924365863,0.03240403338562369
3344,4046.705867878647,104241.38926598866,112583.04708820212,Semiconductor and Other Electronic Component Manufacturing,4,Parts & Machining,Upstream,12179,-3.04971832658572,38.516082401512485,53.40043561389029,0.03882052893167825,0.03594418495982165
3345,485.22074914379795,50040.77679065995,154838.03248778408,"Navigational, Measuring, Electro medical, and Control Instruments Manufacturing",5,Component Systems,Upstream,8867,-2.726702620877361,12.393433271341902,19.409224378571977,0.009696507134045206,0.0031337310436444572
3359,3146.621053704242,43691.08580830463,48547.101056307525,Other Electrical Equipment and Component Manufacturing,5,Component Systems,Upstream,4446,2.126263147746479,27.24970080967578,16.300083474445074,0.07201974946354261,0.06481583833511753
3361,1429.6074006892354,3313.842720045503,278822.0186513185,Motor Vehicle Manufacturing,7,Core Automotive,OEM,48138,27.199870176160857,24.862203254629343,42.94047754260967,0.4314047229947006,0.005127311708036352
3362,6115.144341963541,8408.963300238449,47043.88506354339,Motor Vehicle Body and Trailer Manufacturing,7,Core Automotive,OEM,7921,0.365456489054978,18.238153957008077,29.55052086203477,0.7272173897809896,0.1299880809950891
3363,117204.4838369846,300312.04562524107,266715.29882144945,Motor Vehicle Parts Manufacturing,7,Core Automotive,OEM,117023,-9.57037250942021,3.6827329681267114,12.303413624833322,0.39027566674179925,0.43943667406737796
4231,28575.74047149293,58965.09910877983,135616.93850344498,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,25978,3.668049189282737,22.47873542247077,25.09669897264981,0.48462125737762113,0.2107092284107788
4238,7431.771963619361,69056.14553298076,160527.19864674192,"Machinery, Equipment, and Supplies Merchant Wholesalers",8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,24407,0.997814058104456,22.71850400693711,18.075614300399607,0.10761926988916569,0.04629602974617284
4247,144.74908119024093,82130.82202537249,149312.00000648465,Petroleum and Petroleum Products Merchant Wholesalers,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,3846,-5.734584607605438,19.59343071958918,17.974924209268785,0.0017624209477110058,0.000969440374410325
5413,1198.4375174989525,255134.35379623735,327655.00757406274,"Architectural, Engineering, and Related Services",6,Engineering & Design,OEM,84452,2.727586677577237,22.5658126422611,36.42881892324631,0.004697280078777955,0.0036576200265398327
5414,192.59931284609326,28805.272265878782,35866.0000453925,Industrial design,6,Engineering & Design,OEM,10458,-2.0096726335445387,19.52811607277482,14.621598286318491,0.0066862521231655335,0.005369969124026569
5417,11.252833155868931,6109.871146351241,251454.81181242524,Scientific Research and Development ,6,Engineering & Design,OEM,25297,9.323465545195257,35.621578613658926,37.13461450751062,0.0018417463946991779,4.4750915978744815e-05
8111,219.91234037767708,20632.94787373892,135755.30639205323,Automotive Repair and Maintenance,9,"Dealers, Maintenance, & Repair",Downstream,31338,6.212770114514354,36.96030962653682,12.143165385690372,0.010658309308170928,0.0016199170862800998
