stage,year,employment,wages,gdp
Downstream,2024,231.24288463953295,16021.201929522551,46872.07491254056
Downstream,2025,233.3768570203891,16480.539889883697,49044.89135237716
Downstream,2026,232.50212902562134,17069.127933348256,50909.89911797638
Downstream,2027,231.31063022930235,17627.56165063248,52296.15574729749
Downstream,2028,230.5611149111037,18091.782165676712,53755.91336178034
Downstream,2029,230.00027434132508,18622.527596813594,55268.74920525054
Downstream,2030,229.73922382932585,19259.33019335464,56718.69297404174
Downstream,2031,229.20433573261167,19923.992556106634,58151.946547609994
Downstream,2032,227.8327081463214,20530.763175576332,59446.9146075078
Downstream,2033,225.76937876193804,21056.351163085877,60775.052838506344
Downstream,2034,223.4805463610933,21562.2041216504,62164.92939025972
Downstream,2035,221.3463449111263,22112.50237209263,63551.55541790166
Downstream,2036,219.5273810871751,22740.120786483025,65086.48276380922
Downstream,2037,217.79549852798772,23446.062949009152,66723.18557682296
Downstream,2038,216.08022999582656,24227.883280849634,68379.38253394293
Downstream,2039,214.44289571930537,25093.587853089553,70098.40717099205
Downstream,2040,212.7070178002032,26030.47168118901,71852.81275645713
Downstream,2041,210.88148758201507,27024.78951303227,73610.2761735635
Downstream,2042,209.00703400337025,28078.75921650175,75390.00644346376
Downstream,2043,207.1234611667421,29207.389385548955,77225.82366880072
Downstream,2044,205.28295225751341,30416.577610403343,79150.52026137372
Downstream,2045,203.44115271941567,31686.461173602722,81137.32428895155
Downstream,2046,201.57548044632443,33005.27576733181,83128.52294084027
Downstream,2047,199.65287736015813,34385.92897339391,85165.81316507337
Downstream,2048,197.74096880885384,35833.4972962527,87316.71885152518
Downstream,2049,195.93288443828965,37348.323742273635,89565.01741024181
Downstream,2050,194.21719386503943,38932.68173809509,91908.04407281536
Downstream,2051,192.55879474509908,40594.21397536743,94345.02441993314
Downstream,2052,190.91963272265502,42337.76789759786,96891.86588926529
Downstream,2053,189.18526659311408,44149.020506934685,99509.97037297214
Downstream,2054,187.3363532517131,46037.63410324641,102196.85450672224
Downstream,2055,185.44422961567236,48032.56907789078,104984.87192509016
OEM,1970,335.72134266463877,NDNDNDNDNDND,NDNDNDNDNDND
OEM,1971,337.8377043661329,NDNDNDNDNDND,NDNDNDNDNDND
OEM,1972,351.5750296914887,NDNDNDNDNDND,NDNDNDNDNDND
OEM,1973,369.5816340543565,NDNDNDNDNDND,NDNDNDNDNDND
OEM,1974,366.4741791438441,NDNDNDNDNDND,NDNDNDNDNDND
OEM,1975,360.01762370494333,5620.2403978649045,NDNDNDNDNDND
OEM,1976,401.4373083421573,7314.217678058386,NDNDNDNDNDND
OEM,1977,427.05563641913363,8672.196327075026,21764.717822390692
OEM,1978,443.5710012615699,9595.25912599742,23618.159938690187
OEM,1979,442.0081334524206,10017.833340395298,22187.70700213548
OEM,1980,378.1793699003017,9052.693607586796,17253.12738035771
OEM,1981,379.6259377174295,10003.589070392656,21895.768653607684
OEM,1982,343.5984315655603,9396.226668049701,22044.220299019948
OEM,1983,354.6886223425123,10549.602816106428,28886.661915979133
OEM,1984,384.11235745210325,12620.605170859219,32895.44071570637
OEM,1985,406.15209152175123,14419.276074067175,33976.66351257359
OEM,1986,409.4039691151559,14904.29309055428,37007.81025807827
OEM,1987,408.29803846398056,14388.957338973687,34784.00757162016
OEM,1988,405.4015796732996,15498.13520023506,35432.36509890113
OEM,1989,404.4928372230304,15920.210038192085,34826.60231007423
OEM,1990,380.6415332362001,15606.388355787352,31373.95906482173
OEM,1991,366.85939164106935,15407.945517028806,29852.408102141562
OEM,1992,377.1024649015866,16457.49901668118,33189.198652785635
OEM,1993,375.7200087456937,17228.229751600302,38319.14551024922
OEM,1994,396.3600199559871,20065.932960108625,46094.33016998132
OEM,1995,408.86407065330775,22449.92069352206,43591.20177252158
OEM,1996,406.85875596746666,21009.55267217152,43184.717975001644
OEM,1997,412.1522737741577,22021.332455287014,43179.681157214305
OEM,1998,422.9990351209044,23954.459810280357,45994.25456074141
OEM,1999,437.1993057825394,25426.044369433064,52983.01756263876
OEM,2000,445.2134334952687,26980.154613962866,55338.05881744076
OEM,2001,412.1812699138103,24941.247783095947,50271.05765993125
OEM,2002,389.1581678042816,24109.58786217041,53724.940245713246
OEM,2003,365.512864820938,24689.263017670724,55563.66133373412
OEM,2004,351.43229901888185,23809.767018430543,50087.92889987966
OEM,2005,334.2512665918252,23002.188024119463,50250.90424770177
OEM,2006,313.5363645451482,22442.553771165483,45357.84183557247
OEM,2007,291.84222515708944,22180.089090010555,48072.28872490818
