stage,year,employment,wages,gdp
Downstream,2034,7054.094454175259,677176.5735058391,1849.6028885465364
Downstream,2035,7025.221072389787,696786.488024825,1897.397304997961
Downstream,2036,7005.214814667754,718845.531773652,1950.312504328436
Downstream,2037,6988.50384947159,743479.1667886794,2006.8318594573414
Downstream,2038,6972.769813533087,770505.6215996945,2064.5548041224993
Downstream,2039,6959.585368732745,800124.2329203695,2124.47126871484
Downstream,2040,6944.155003303549,831983.9215547564,2185.9470110654465
Downstream,2041,6926.938486237437,865649.8018333985,2248.291366854147
Downstream,2042,6908.60853679409,901198.7664888743,2312.159154428366
Downstream,2043,6890.574761357448,939133.6812978734,2378.5894366329935
Downstream,2044,6874.388628160265,979746.9834194249,2448.5887962431475
Downstream,2045,6858.162994534507,1022441.6962928005,2521.4511587705147
Downstream,2046,6841.46741656684,1066946.5617325464,2595.5344822498414
Downstream,2047,6823.463692128431,1113585.1665476193,2672.1894549771237
Downstream,2048,6805.4155860034725,1162455.2557167024,2753.555851491057
Downstream,2049,6789.695416466428,1213551.3694467784,2839.1272597030757
Downstream,2050,6776.626876449822,1266895.0195043257,2928.8827100107283
Downstream,2051,6765.153937332181,1322743.419936464,3022.9925516146673
Downstream,2052,6753.990382365401,1381302.3056733767,3122.180818535256
Downstream,2053,6740.097534102053,1442127.731113071,3225.369375611831
Downstream,2054,6722.869546000073,1505191.0928574123,3332.5434000948535
Downstream,2055,6703.499104798536,1570698.7049717451,3444.797146134066
OEM,1970,1994.8338559263102,NDNDNDNDNDND,NDNDNDNDNDND
OEM,1971,2000.004144381888,NDNDNDNDNDND,NDNDNDNDNDND
OEM,1972,2101.9856484143297,NDNDNDNDNDND,NDNDNDNDNDND
OEM,1973,2235.6608714527056,NDNDNDNDNDND,NDNDNDNDNDND
OEM,1974,2247.8135060355603,NDNDNDNDNDND,NDNDNDNDNDND
OEM,1975,2166.99507070001,26224.00478059989,NDNDNDNDNDND
OEM,1976,2304.5408036438403,30525.320355210824,NDNDNDNDNDND
OEM,1977,2451.1888098969516,35372.63765248118,64.67146542684696
OEM,1978,2621.671301137587,40885.19594708734,72.18696843449072
OEM,1979,2685.5800764739915,45712.33329412497,75.48536397243126
OEM,1980,2479.4451209696913,46765.529676683276,69.7724763171914
OEM,1981,2512.502877281368,52187.84018651928,84.25653001060236
OEM,1982,2372.1313714026305,53229.5866147762,84.69686785520287
OEM,1983,2418.820704916356,58277.46628639454,101.54014158447809
OEM,1984,2619.6682802719242,68141.84590037761,123.25399914922129
OEM,1985,2706.878881735055,75008.14721509216,133.99343033195225
OEM,1986,2639.773684068905,77476.83095000705,141.18033293571114
OEM,1987,2547.68297726732,80358.53829588462,145.37003155500153
OEM,1988,2553.5722447504836,85891.45203725682,160.40421938198637
OEM,1989,2620.5685863541985,91336.858170909,169.9660737740334
OEM,1990,2578.230446705041,95417.34734115076,168.27443055304443
OEM,1991,2498.0499114670515,96481.73007669745,168.12483311883847
OEM,1992,2522.544289011906,100908.26828956643,186.4209369497612
OEM,1993,2576.2166961945727,105398.96370759665,204.47269010327153
OEM,1994,2687.667160656366,114953.23571680946,223.39852188628984
OEM,1995,2812.020461011535,151679.89865466437,261.3147980233685
OEM,1996,2846.2865863539687,125717.16285875227,244.0930654117576
OEM,1997,2912.1794387192135,135453.64422476751,260.95629078679434
OEM,1998,2994.2762305581573,147315.6164197447,280.00493370994934
OEM,1999,3100.0963436365164,154968.3582900632,301.0446631194934
OEM,2000,3200.1856352389677,174203.75434828436,321.05752990252887
OEM,2001,3152.208306273346,173139.39374546162,314.79685948247015
OEM,2002,3060.8225881889484,174937.7652594331,332.3800483521977
OEM,2003,3014.477418760952,179627.87422181497,340.6751008474965
OEM,2004,3045.708289778796,188580.84885545104,345.6901686216095
OEM,2005,3118.141681061233,199759.34295231802,354.8920241876115
OEM,2006,3188.261875575351,214785.73983473674,366.39330967450474
OEM,2007,3175.0380928627605,226257.03169195395,366.1141918428068
OEM,2008,3078.702317962807,227424.86438277285,354.4192580648824
OEM,2009,2732.272734478459,206756.09919878596,300.34360923404483
OEM,2010,2690.7878430240253,209207.18716730017,346.0739466376963
OEM,2011,2757.012295199475,220426.42382059077,375.01680909747677
OEM,2012,2857.2083382397823,233306.51384157382,399.1365251296449
OEM,2013,2928.6603031745217,242065.40137464905,418.9207111335799
OEM,2014,3012.8147013701514,257679.95004161383,446.42902668481065
OEM,2015,3109.9375665981456,276655.0906634036,484.8994800589975
OEM,2016,3158.8895921213616,278079.5025672526,493.18254175843913
OEM,2017,3204.6272043406047,287765.1448562824,514.3358520181915
OEM,2018,3307.122870448089,308676.8150819198,540.4252203017425
OEM,2019,3383.5437196004746,325617.6013627552,567.5160569424161
OEM,2020,3287.4955406639565,339178.01017896493,555.6995219246226
OEM,2021,3464.829180124204,368426.09155888774,593.9919735065008
OEM,2022,3651.7792119561564,402373.9155605228,658.0590593553634
OEM,2023,3766.610193388849,431303.8780189126,729.9506623752537
OEM,2024,3809.4999540160234,459782.67777982843,791.9168371715823
OEM,2025,3834.849463813246,480562.2811166523,832.3443505315637
OEM,2026,3879.1313425195426,501353.583498223,859.3875883776113
OEM,2027,3938.8759647964416,521413.7645509172,910.6651059956835
OEM,2028,4003.58420548904,539083.9735876017,966.987816918634
OEM,2029,4063.0072555637607,556871.6800699525,1024.8890762880328
OEM,2030,4125.092766434219,578636.1971629702,1087.0524569558886
OEM,2031,4176.192165194974,601895.1175855263,1145.5228663813555
OEM,2032,4207.714541074245,624223.6600863888,1196.0370915542103
OEM,2033,4229.547670074816,645328.8892737895,1243.3251444401335
OEM,2034,4248.9859786888765,666489.9124875551,1287.2858905753494
OEM,2035,4273.290966774559,689384.1340423166,1332.9581831235878
OEM,2036,4305.856910268719,715204.790920327,1386.6613782558584
OEM,2037,4339.564247991905,743470.7366451123,1444.8183983318222
OEM,2038,4371.507453800823,773937.6074981389,1504.0021536864526
OEM,2039,4402.403165214531,806932.47304709,1565.2031031529377
