stage,year,employment_qcew_raw,employment_bea,naics_count,share_min,share_max,share_weighted
OEM,2011,224261.0,137855.046912434,6,0.002217683,1.0,0.6147080719003036
OEM,2012,243548.0,150376.085020857,6,0.002217683,1.0,0.6174392112472983
OEM,2013,259419.0,160812.164740158,6,0.002217683,1.0,0.6198935495864143
OEM,2014,273287.0,170591.252805092,6,0.002217683,1.0,0.6242201524591071
OEM,2015,284225.0,166930.699725065,6,0.002217683,1.0,0.5873188485357199
OEM,2016,295186.0,173614.206932086,6,0.002217683,1.0,0.5881519006053336
OEM,2017,294432.0,180963.197128443,6,0.002217683,1.0,0.6146179665540532
OEM,2018,299693.0,183253.799170734,6,0.002217683,1.0,0.6114717366462814
OEM,2019,299164.0,181083.447259269,6,0.002217683,1.0,0.6052982553357658
OEM,2020,270130.0,154982.927271249,6,0.002217683,1.0,0.5737345991605857
OEM,2021,294352.0,175133.975417889,6,0.002217683,1.0,0.5949814352132448
OEM,2022,299542.0,177409.453269932,6,0.002217683,1.0,0.592269041636672
OEM,2023,302226.0,179388.02117181302,6,0.002217683,1.0,0.5935558858993369
OEM,2024,293289.0,173348.581020381,6,0.002217683,1.0,0.591050400868703
Upstream,2001,259100.0,15531.291111477,21,0.012321176,0.179901049,0.05994323084321497
Upstream,2002,238374.0,14301.686463480999,21,0.012321176,0.179901049,0.05999683884769731
Upstream,2003,230883.0,13815.577595825,21,0.012321176,0.179901049,0.05983800277987119
Upstream,2004,230022.0,13916.400831207,21,0.012321176,0.179901049,0.06050030358490492
Upstream,2005,232073.0,13845.120726926998,21,0.012321176,0.179901049,0.05965847266561383
Upstream,2006,226718.0,13440.129514147,21,0.012321176,0.179901049,0.05928126357036936
Upstream,2007,217064.0,12811.704711004999,21,0.012321176,0.179901049,0.05902270625716378
Upstream,2008,207466.0,12205.434202011,21,0.012321176,0.179901049,0.05883100942810388
Upstream,2009,163364.0,9411.921174769,21,0.012321176,0.179901049,0.057613190022091774
Upstream,2010,171977.0,9994.191463919,21,0.012321176,0.179901049,0.05811353532111271
Upstream,2011,190260.0,11129.06674308,21,0.012321176,0.179901049,0.05849399108104699
Upstream,2012,201476.0,11715.36168482,21,0.012321176,0.179901049,0.0581476785563541
Upstream,2013,205887.0,11933.675616983,21,0.012321176,0.179901049,0.0579622589915002
Upstream,2014,213904.0,12387.597036127,21,0.012321176,0.179901049,0.05791194664955774
Upstream,2015,220278.0,12696.570305203999,21,0.012321176,0.179901049,0.057638848660347373
Upstream,2016,221825.0,12719.915277494,21,0.012321176,0.179901049,0.05734211778426237
Upstream,2017,224348.0,12834.685811553,21,0.012321176,0.179901049,0.057208826517521884
Upstream,2018,229519.0,13120.431522388999,21,0.012321176,0.179901049,0.05716490365672994
Upstream,2019,227192.0,12977.971179738,21,0.012321176,0.179901049,0.05712336340953027
Upstream,2020,197715.0,11134.434704308,21,0.012321176,0.179901049,0.05631557901174923
Upstream,2021,201624.0,11365.400447482,21,0.012321176,0.179901049,0.056369283654138395
Upstream,2022,205458.0,11612.870160894,21,0.012321176,0.179901049,0.05652186899947434
Upstream,2023,209044.0,11831.493951842,21,0.012321176,0.179901049,0.056598103518120585
Upstream,2024,205217.0,11602.590562029,21,0.012321176,0.179901049,0.05653815503603015
