Geography:,naics_code,metric,value_base,value_target,cagr_pct
Michigan,3344,gdp,1204.317696909791,1786.3894280441568,6.792112761137981
Michigan,3336,gdp,836.5588029393141,913.4356668066322,1.4760565903984446
Michigan,3345,gdp,1272.3729993836841,1589.9297386782368,3.7832455556851885
Michigan,3359,gdp,1001.8877169964879,1210.045054926298,3.1962101276374666
Michigan,5413,gdp,14064.96600996811,18712.811174131297,4.873732431153988
Michigan,5414,gdp,2038.383151818754,2269.75738084384,1.8080851983158341
Michigan,5417,gdp,4759.761961875393,6300.588229819397,4.785046534417514
Michigan,3361,gdp,19871.653048558303,29553.233897508708,6.838677261521697
Michigan,3362,gdp,1486.4121074053671,1748.196729858817,2.7405402045768135
Michigan,3363,gdp,22562.13484403633,23277.34350957831,0.521479230547417
Michigan,4231,gdp,7831.21941817969,10709.81623981722,5.355878103537237
Michigan,4235,gdp,1443.0529419959748,1930.8401960541062,4.972936062683009
Michigan,4238,gdp,5257.5053782664845,6674.734001700943,4.0580555313442845
Michigan,4239,gdp,1547.0352729957901,2069.457247818325,4.968592487430379
Michigan,4247,gdp,5511.665745290843,6898.010305236739,3.8102318868742158
Michigan,4413,gdp,2267.934668896953,3127.048773924983,5.499569114434522
Michigan,4571,gdp,2855.909329202901,2541.881581686593,-1.922704138080833
Michigan,4411,gdp,8548.343842170832,11383.043554536349,4.888868997972251
Michigan,8111,gdp,3640.146540392384,4049.142740548024,1.7905286590723657
Michigan,4841,gdp,5832.1725910215555,6251.079559096693,1.1627848945769514
Michigan,4842,gdp,1941.027408978442,2152.709908319839,1.7401343878018727
United States,3255,gdp,28.31989062595897,41.082419411101135,6.396515921278723
United States,3328,gdp,15.13788423688108,17.72148140046799,2.6610749178597626
United States,3311,gdp,25.641511110324007,23.8777020285633,-1.1807654669441225
United States,3312,gdp,13.02148888967598,12.96415423779116,-0.07351965584169173
United States,3313,gdp,10.39894533849804,15.89113174620067,7.323358688339954
United States,3314,gdp,11.4066012730316,16.78930512053787,6.6545555329758255
United States,3252,gdp,42.994,65.27212682301708,7.206220463179336
United States,3261,gdp,82.11957768737274,104.17274054748249,4.0442052257375405
United States,3262,gdp,19.35142231262728,22.32018874805122,2.4072794126362984
United States,3272,gdp,13.87589447330378,13.59923350261762,-0.3350988371798702
United States,3335,gdp,23.99612720638496,24.3210716147351,0.22442927142929392
United States,3339,gdp,50.29524935312183,58.00687743772831,2.4060041259269083
United States,3315,gdp,16.04745338847036,24.15217779218182,7.051238395021686
United States,3321,gdp,11.48871766815253,12.90413450143885,1.9552406423730684
United States,3326,gdp,4.722810163956825,4.962295107550704,0.8278135983449841
United States,3327,gdp,41.747019487832354,47.87950027127215,2.3106135357318536
United States,3329,gdp,41.278534019556005,49.326001913418466,3.012977843995568
United States,3344,gdp,111.443,162.8866873575675,6.53005046404902
United States,3336,gdp,19.251467541231072,21.70685223585894,2.020825841005336
United States,3345,gdp,132.881,166.36939309579012,3.816987852035103
United States,3359,gdp,33.75162013846685,44.98252295595152,4.90387505695975
United States,5413,gdp,316.907,440.6970773963427,5.6496484715435
United States,5414,gdp,35.70615393594984,41.185837772311984,2.4080598982709756
United States,5417,gdp,233.235,313.1786065594388,5.034763234643669
United States,3361,gdp,86.36,130.5168730500748,7.125370699240285
United States,3362,gdp,20.83917012247907,25.84189012373641,3.6511144398457596
United States,3363,gdp,78.65482987752092,87.84285491611523,1.8583978968480075
United States,4231,gdp,118.09940626559901,166.91506630512998,5.93544717573673
United States,4235,gdp,30.407366269061313,42.657815634342434,5.804295858215558
United States,4238,gdp,170.75066497360578,225.17401730378452,4.719118731904182
United States,4239,gdp,59.961220338669925,84.37567705241482,5.858190960886689
United States,4247,gdp,168.417362068328,217.663469903372,4.367780530614218
United States,4413,gdp,68.21975069212168,93.14809528121764,5.328033319332981
United States,4571,gdp,93.408,82.32481791069398,-2.083070966246181
United States,4411,gdp,261.1123392440316,346.2220939341454,4.8144670742444
United States,8111,gdp,120.5841717919388,138.7545249251396,2.36688193121557
United States,4841,gdp,179.9019955810485,200.4459959546392,1.8185483129040891
United States,4842,gdp,77.45400441895144,93.03895347641065,3.1027280797753853
Michigan,3255,wages,384.7684606313511,435.1482488581362,2.0719227450896716
Michigan,3328,wages,743.6596487069405,810.9828223049034,1.454871789200629
Michigan,3311,wages,374.7884345324698,420.5703639369924,1.9394018461001528
Michigan,3312,wages,146.1207552566951,163.4790538439542,1.8884685443396165
Michigan,3313,wages,232.4251564870145,266.4904437118123,2.3056811671476662
Michigan,3314,wages,112.9686065078284,133.0239096908538,2.7610790722577105
Michigan,3252,wages,593.4003885725468,642.2397201035104,1.3269310695213976
Michigan,3261,wages,2367.619577604457,2748.122557688859,2.514987345984254
Michigan,3262,wages,373.14803070343464,392.46230128011445,0.8446350634327082
Michigan,3272,wages,269.1415005082411,299.51619164465313,1.7981625958567227
Michigan,3335,wages,2312.303759478822,2241.53780237905,-0.5166967860461669
Michigan,3339,wages,1571.433310467865,1737.721328714187,1.6905733873988193
Michigan,3315,wages,668.9255544785061,691.9863665023955,0.5664898313124223
Michigan,3321,wages,514.2201258972551,530.966169668184,0.535543506930547
Michigan,3326,wages,212.4944817061602,218.95933902368702,0.5007500237110607
Michigan,3327,wages,1722.409506272322,1763.713480311056,0.3957365107069899
Michigan,3329,wages,884.0870814543845,1003.253986427217,2.1298376614703907
Michigan,3344,wages,1187.056674024168,1621.671636762761,5.33723421670802
Michigan,3336,wages,505.7533034121723,549.3898592736107,1.3888783299202956
Michigan,3345,wages,739.9153479316677,830.8437358165847,1.9505451360779524
Michigan,3359,wages,443.6556273636516,561.2126460137504,3.9952673362328106
Michigan,5413,wages,8974.64559704882,10691.61966974758,2.960592305971721
Michigan,5414,wages,873.3939377670391,991.9543221767134,2.144169926348294
Michigan,5417,wages,3793.029540596623,4835.62982731333,4.130464046237603
Michigan,3361,wages,5239.953192355299,6683.59433719077,4.139090189234174
Michigan,3362,wages,618.0437169317544,728.813246347337,2.7857344883825963
Michigan,3363,wages,9491.263849311648,9764.227953690845,0.4736802998089651
Michigan,4231,wages,2057.933277529058,2465.149703513769,3.0549051824972473
Michigan,4235,wages,628.4212389718383,747.4572209222158,2.933304320268326
Michigan,4238,wages,2393.821778955512,2876.12950255724,3.1065140269645353
