series_id,year,employment,naics_code,segment_id,segment_name,stage,segment_label
ENU260001053344,2003,6224.0,3344,4,Parts & Machining,Upstream,4. Parts & Machining
ENU260001053336,2003,4377.0,3336,5,Component Systems,Upstream,5. Component Systems
ENU260001053345,2003,8300.0,3345,5,Component Systems,Upstream,5. Component Systems
ENU260001053359,2003,2048.0,3359,5,Component Systems,Upstream,5. Component Systems
ENU260001055413,2003,72059.0,5413,6,Engineering & Design,OEM,6. Engineering & Design
ENU260001055414,2003,3619.0,5414,6,Engineering & Design,OEM,6. Engineering & Design
ENU260001055417,2003,24291.0,5417,6,Engineering & Design,OEM,6. Engineering & Design
ENU260001053361,2003,75378.0,3361,7,Core Automotive,OEM,7. Core Automotive
ENU260001053362,2003,9389.0,3362,7,Core Automotive,OEM,7. Core Automotive
ENU260001053363,2003,177191.0,3363,7,Core Automotive,OEM,7. Core Automotive
ENU260001054231,2003,19484.0,4231,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
ENU260001054235,2003,7574.0,4235,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
ENU260001054238,2003,23935.0,4238,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
ENU260001054239,2003,6462.0,4239,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
ENU260001054247,2003,3074.0,4247,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
ENU260001054413,2003,14244.0,4413,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
ENU260001054571,2003,27283.92998377482,4571,8,"Motor Vehicle Parts, Materials, & Products Sales",Downstream,"8. Motor Vehicle Parts, Materials, & Products Sales"
ENU260001054411,2003,42098.0,4411,9,"Dealers, Maintenance, & Repair",Downstream,"9. Dealers, Maintenance, & Repair"
ENU260001058111,2003,32544.0,8111,9,"Dealers, Maintenance, & Repair",Downstream,"9. Dealers, Maintenance, & Repair"
ENU260001054841,2003,23370.0,4841,10,Logistics,Downstream,10. Logistics
ENU260001054842,2003,11577.0,4842,10,Logistics,Downstream,10. Logistics
