segment_name,occcd,soctitle,empl_2021,empl_2024,occ_level,is_total_all,pct_seg_major_2021,pct_seg_detailed_2021,pct_seg_major_2024,pct_seg_detailed_2024,level_change_2021_2024,pct_change_2021_2024,ep_title,ep_type,ep_employment_2024,ep_employment_2034,ep_change_numeric,ep_change_percent,ep_openings_annual_avg,ep_median_annual_wage_2024,ep_entry_education,ep_work_experience,ep_on_the_job_training,ep_edu_grouped,segment_id
6. Engineering & Design,17-2071,Electrical Engineers,3440.0,4340.0,detailed,False,,0.0288857166848601,,0.0352558895207148,900.0,26.16279069767442,        Electrical engineers,Line item,192.0,205.7,13.8,7.2,11.7,111910.0,Bachelor's degree,,,BA+,0.0
6. Engineering & Design,17-2072,"Electronics Engineers, Except Computer",1830.0,2130.0,detailed,False,,0.0153665295154924,,0.0173030056864337,300.0,16.393442622950815,"        Electronics engineers, except computer",Line item,95.9,101.8,6.0,6.2,5.7,127590.0,Bachelor's degree,,,BA+,0.0
6. Engineering & Design,17-2081,Environmental Engineers,750.0,310.0,detailed,False,,0.0062977579981526,,0.0025182778229082,-440.0,-58.66666666666666,      Environmental engineers,Line item,39.4,41.0,1.5,3.9,3.0,104170.0,Bachelor's degree,,,BA+,0.0
6. Engineering & Design,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",170.0,330.0,detailed,False,,0.0014274918129146,,0.00268074735987,160.0,94.11764705882352,"        Health and safety engineers, except mining safety engineers and inspectors",Line item,23.8,24.9,1.1,4.4,1.5,109660.0,Bachelor's degree,,,BA+,0.0
6. Engineering & Design,17-2112,Industrial Engineers,6980.0,8040.0,detailed,False,,0.0586111344361407,,0.0653127538586515,1060.0,15.1862464183381,        Industrial engineers,Line item,351.1,389.6,38.5,11.0,25.2,101140.0,Bachelor's degree,,,BA+,0.0
6. Engineering & Design,17-2131,Materials Engineers,130.0,340.0,detailed,False,,0.0010916113863464,,0.0027619821283509,210.0,161.53846153846155,      Materials engineers,Line item,23.0,24.3,1.3,5.7,1.5,108310.0,Bachelor's degree,,,BA+,0.0
6. Engineering & Design,17-2141,Mechanical Engineers,15170.0,13030.0,detailed,False,,0.1273826517759677,,0.1058489033306255,-2140.0,-14.106789716545808,      Mechanical engineers,Line item,293.1,319.6,26.5,9.1,18.1,102320.0,Bachelor's degree,,,BA+,0.0
6. Engineering & Design,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",130.0,,detailed,False,,0.0010916113863464,,,,,"      Mining and geological engineers, including mining safety engineers",Line item,7.0,7.0,0.0,0.7,0.4,101020.0,Bachelor's degree,,,BA+,0.0
6. Engineering & Design,17-2199,"Engineers, All Other",4580.0,2730.0,detailed,False,,0.0384583088420522,,0.0221770917952883,-1850.0,-40.39301310043668,"      Engineers, all other",Line item,158.8,162.1,3.3,2.1,9.3,117750.0,Bachelor's degree,,,BA+,0.0
6. Engineering & Design,17-3011,Architectural and Civil Drafters,1260.0,1330.0,detailed,False,,0.0105802334368964,,0.010804224207961,70.0,5.555555555555558,        Architectural and civil drafters,Line item,110.5,115.1,4.6,4.1,10.0,64280.0,Associate's degree,,,SC or associate's,0.0
6. Engineering & Design,17-3012,Electrical and Electronics Drafters,80.0,290.0,detailed,False,,0.0006717608531362,,0.0023558082859463,210.0,262.5,        Electrical and electronics drafters,Line item,21.6,20.4,-1.2,-5.6,1.7,73720.0,Associate's degree,,,SC or associate's,0.0
6. Engineering & Design,17-3013,Mechanical Drafters,410.0,350.0,detailed,False,,0.0034427743723234,,0.0028432168968318,-60.0,-14.634146341463415,        Mechanical drafters,Line item,42.9,40.1,-2.8,-6.5,3.3,68510.0,Associate's degree,,,SC or associate's,0.0
6. Engineering & Design,17-3019,"Drafters, All Other",60.0,,detailed,False,,0.0005038206398522,,,,,"        Drafters, all other",Line item,17.1,15.9,-1.2,-6.9,1.3,62010.0,Associate's degree,,,SC or associate's,0.0
