segment,occcd,soctitle,occ_level,year,employment,share_within_level,ep_title,ep_type,ep_employment_2024,ep_employment_2034,ep_change_numeric,ep_change_percent,ep_openings_annual_avg,ep_median_annual_wage_2024,ep_entry_education,ep_work_experience,ep_on_the_job_training,ep_edu_grouped
1. Materials & Processing,41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",detailed,2021,50.0,0.0007036307345904869,"      Sales representatives of services, except advertising, insurance, financial services, and travel",Line item,1226.7,1264.7,37.9,3.1,123.0,66260,High school diploma or equivalent,nan,Moderate-term on-the-job training,HS or less
1. Materials & Processing,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",detailed,2021,130.0,0.001829439909935266,"      Sales representatives, wholesale and manufacturing, technical and scientific products",Line item,303.2,308.9,5.7,1.9,27.2,100070,Bachelor's degree,nan,Moderate-term on-the-job training,BA+
1. Materials & Processing,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",detailed,2021,1290.0,0.01815367295243456,"      Sales representatives, wholesale and manufacturing, except technical and scientific products",Line item,1310.5,1314.9,4.4,0.3,114.8,66780,High school diploma or equivalent,nan,Moderate-term on-the-job training,HS or less
1. Materials & Processing,41-9031,Sales Engineers,detailed,2021,50.0,0.0007036307345904869,      Sales engineers,Line item,56.8,59.9,3.1,5.5,5.0,121520,Bachelor's degree,nan,Moderate-term on-the-job training,BA+
1. Materials & Processing,43-0000,Office and Administrative Support Occupations,major,2021,6190.0,0.08597222222222223,  Office and administrative support occupations,Summary,19325.2,18563.3,-761.9,-3.9,1996.8,46320,—,—,—,
1. Materials & Processing,43-1011,First-Line Supervisors of Office and Administrative Support Workers,detailed,2021,350.0,0.004925415142133408,      First-line supervisors of office and administrative support workers,Line item,1558.4,1554.4,-3.9,-0.3,144.5,66140,High school diploma or equivalent,Less than 5 years,nan,HS or less
1. Materials & Processing,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",detailed,2021,530.0,0.007458485786659161,"      Bookkeeping, accounting, and auditing clerks",Line item,1613.4,1519.1,-94.3,-5.8,170.0,49210,"Some college, no degree",nan,Moderate-term on-the-job training,SC or associate's
1. Materials & Processing,43-3051,Payroll and Timekeeping Clerks,detailed,2021,50.0,0.0007036307345904869,      Payroll and timekeeping clerks,Line item,161.1,134.2,-27.0,-16.7,13.0,55290,High school diploma or equivalent,nan,Moderate-term on-the-job training,HS or less
1. Materials & Processing,43-3061,Procurement Clerks,detailed,2021,40.0,0.0005629045876723895,      Procurement clerks,Line item,61.9,56.6,-5.4,-8.7,4.6,48510,High school diploma or equivalent,nan,Moderate-term on-the-job training,HS or less
1. Materials & Processing,43-4051,Customer Service Representatives,detailed,2021,670.0,0.009428651843512525,      Customer service representatives,Line item,2814.0,2660.3,-153.7,-5.5,341.7,42830,High school diploma or equivalent,nan,Short-term on-the-job training,HS or less
1. Materials & Processing,43-4071,File Clerks,detailed,2021,30.0,0.00042217844075429216,      File clerks,Line item,84.3,70.9,-13.4,-15.9,7.3,41270,High school diploma or equivalent,nan,Short-term on-the-job training,HS or less
1. Materials & Processing,43-4151,Order Clerks,detailed,2021,90.0,0.0012665353222628764,      Order clerks,Line item,89.5,74.1,-15.4,-17.2,8.0,44660,"Some college, no degree",nan,Short-term on-the-job training,SC or associate's
1. Materials & Processing,43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",detailed,2021,90.0,0.0012665353222628764,"      Human resources assistants, except payroll and timekeeping",Line item,95.2,88.4,-6.8,-7.1,9.0,49440,Associate's degree,nan,nan,SC or associate's
1. Materials & Processing,43-4171,Receptionists and Information Clerks,detailed,2021,110.0,0.0015479876160990713,      Receptionists and information clerks,Line item,1007.2,1007.6,0.3,0.0,128.5,37230,High school diploma or equivalent,nan,Short-term on-the-job training,HS or less
1. Materials & Processing,43-5061,"Production, Planning, and Expediting Clerks",detailed,2021,750.0,0.010554461018857304,"      Production, planning, and expediting clerks",Line item,388.8,381.7,-7.1,-1.8,34.1,57770,High school diploma or equivalent,nan,Moderate-term on-the-job training,HS or less
1. Materials & Processing,43-5071,"Shipping, Receiving, and Inventory Clerks",detailed,2021,2110.0,0.02969321699971855,"      Shipping, receiving, and inventory clerks",Line item,862.2,795.8,-66.3,-7.7,69.3,43190,High school diploma or equivalent,nan,Short-term on-the-job training,HS or less
1. Materials & Processing,43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",detailed,2021,,,"      Weighers, measurers, checkers, and samplers, recordkeeping",Line item,49.8,47.4,-2.4,-4.8,5.3,45650,High school diploma or equivalent,nan,Short-term on-the-job training,HS or less
1. Materials & Processing,43-6011,Executive Secretaries and Executive Administrative Assistants,detailed,2021,50.0,0.0007036307345904869,      Executive secretaries and executive administrative assistants,Line item,502.8,494.9,-7.9,-1.6,50.0,74260,High school diploma or equivalent,Less than 5 years,nan,HS or less
1. Materials & Processing,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",detailed,2021,280.0,0.003940332113706727,"      Secretaries and administrative assistants, except legal, medical, and executive",Line item,1944.0,1913.2,-30.8,-1.6,202.8,46290,High school diploma or equivalent,nan,Short-term on-the-job training,HS or less
1. Materials & Processing,43-9021,Data Entry Keyers,detailed,2021,30.0,0.00042217844075429216,        Data entry keyers,Line item,141.6,104.9,-36.7,-25.9,9.5,39850,High school diploma or equivalent,nan,Short-term on-the-job training,HS or less
1. Materials & Processing,43-9061,"Office Clerks, General",detailed,2021,980.0,0.013791162397973544,"      Office clerks, general",Line item,2646.0,2468.2,-177.8,-6.7,282.4,43630,High school diploma or equivalent,nan,Short-term on-the-job training,HS or less
1. Materials & Processing,47-0000,Construction and Extraction Occupations,major,2021,220.0,0.0030555555555555557,  Construction and extraction occupations,Summary,7574.7,7968.8,394.1,5.2,649.3,58360,—,—,—,
1. Materials & Processing,47-2111,Electricians,detailed,2021,170.0,0.0023923444976076554,      Electricians,Line item,818.7,896.1,77.4,9.5,81.0,62350,High school diploma or equivalent,nan,Apprenticeship,HS or less
1. Materials & Processing,47-2152,"Plumbers, Pipefitters, and Steamfitters",detailed,2021,,,"        Plumbers, pipefitters, and steamfitters",Line item,504.5,527.2,22.7,4.5,44.0,62970,High school diploma or equivalent,nan,Apprenticeship,HS or less
1. Materials & Processing,47-2211,Sheet Metal Workers,detailed,2021,,,      Sheet metal workers,Line item,127.0,130.1,3.1,2.4,10.6,60850,High school diploma or equivalent,nan,Apprenticeship,HS or less
1. Materials & Processing,49-0000,"Installation, Maintenance, and Repair Occupations",major,2021,4200.0,0.058333333333333334,"  Installation, maintenance, and repair occupations",Summary,6492.9,6794.3,301.4,4.6,608.1,58230,—,—,—,
1. Materials & Processing,49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",detailed,2021,390.0,0.005488319729805798,"      First-line supervisors of mechanics, installers, and repairers",Line item,617.5,636.5,19.1,3.1,52.4,78300,High school diploma or equivalent,Less than 5 years,nan,HS or less
1. Materials & Processing,49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",detailed,2021,140.0,0.0019701660568533634,"        Electrical and electronics repairers, commercial and industrial equipment",Line item,61.1,60.7,-0.5,-0.8,4.7,71300,Postsecondary nondegree award,nan,Long-term on-the-job training,SC or associate's
1. Materials & Processing,49-3021,Automotive Body and Related Repairers,detailed,2021,,,        Automotive body and related repairers,Line item,172.6,175.4,2.8,1.6,14.6,51680,High school diploma or equivalent,nan,Long-term on-the-job training,HS or less
1. Materials & Processing,49-3023,Automotive Service Technicians and Mechanics,detailed,2021,,,        Automotive service technicians and mechanics,Line item,805.6,839.2,33.6,4.2,70.0,49670,Postsecondary nondegree award,nan,Short-term on-the-job training,SC or associate's
1. Materials & Processing,49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,detailed,2021,30.0,0.00042217844075429216,      Bus and truck mechanics and diesel engine specialists,Line item,319.9,327.7,7.8,2.4,26.5,60640,High school diploma or equivalent,nan,Long-term on-the-job training,HS or less
1. Materials & Processing,49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",detailed,2021,,,"        Mobile heavy equipment mechanics, except engines",Line item,188.7,199.6,10.9,5.8,16.5,63980,High school diploma or equivalent,nan,Long-term on-the-job training,HS or less
1. Materials & Processing,49-3093,Tire Repairers and Changers,detailed,2021,80.0,0.001125809175344779,        Tire repairers and changers,Line item,113.4,119.9,6.5,5.7,15.3,37120,High school diploma or equivalent,nan,Short-term on-the-job training,HS or less
1. Materials & Processing,49-9041,Industrial Machinery Mechanics,detailed,2021,2730.0,0.03841823810864058,        Industrial machinery mechanics,Line item,439.6,510.3,70.7,16.1,45.7,63760,High school diploma or equivalent,nan,Long-term on-the-job training,HS or less
1. Materials & Processing,49-9043,"Maintenance Workers, Machinery",detailed,2021,70.0,0.0009850830284266817,"        Maintenance workers, machinery",Line item,57.5,55.9,-1.6,-2.8,4.8,60500,High school diploma or equivalent,nan,Long-term on-the-job training,HS or less
1. Materials & Processing,49-9044,Millwrights,detailed,2021,50.0,0.0007036307345904869,        Millwrights,Line item,41.3,41.3,0.0,0.0,3.6,65170,High school diploma or equivalent,nan,Apprenticeship,HS or less
1. Materials & Processing,49-9045,"Refractory Materials Repairers, Except Brickmasons",detailed,2021,30.0,0.00042217844075429216,"        Refractory materials repairers, except brickmasons",Line item,1.1,0.9,-0.2,-16.9,0.1,58540,High school diploma or equivalent,nan,Moderate-term on-the-job training,HS or less
1. Materials & Processing,49-9071,"Maintenance and Repair Workers, General",detailed,2021,610.0,0.008584294962003941,"      Maintenance and repair workers, general",Line item,1629.7,1692.1,62.4,3.8,159.8,48620,High school diploma or equivalent,nan,Moderate-term on-the-job training,HS or less
1. Materials & Processing,49-9098,"Helpers--Installation, Maintenance, and Repair Workers",detailed,2021,50.0,0.0007036307345904869,"        Helpers--installation, maintenance, and repair workers",Line item,98.7,101.0,2.2,2.3,11.8,38860,High school diploma or equivalent,nan,Short-term on-the-job training,HS or less
1. Materials & Processing,51-0000,Production Occupations,major,2021,39640.0,0.5505555555555556,  Production occupations,Summary,9001.2,8901.6,-99.6,-1.1,963.4,45960,—,—,—,
1. Materials & Processing,51-1011,First-Line Supervisors of Production and Operating Workers,detailed,2021,3470.0,0.04883197298057979,      First-line supervisors of production and operating workers,Line item,698.6,706.9,8.3,1.2,67.7,71190,High school diploma or equivalent,Less than 5 years,nan,HS or less
1. Materials & Processing,51-2051,Fiberglass Laminators and Fabricators,detailed,2021,,,      Fiberglass laminators and fabricators,Line item,18.6,19.4,0.8,4.2,2.1,45760,High school diploma or equivalent,nan,Moderate-term on-the-job training,HS or less
1. Materials & Processing,51-2090,Miscellaneous Assemblers and Fabricators,detailed,2021,6570.0,0.09245707852518999,      Miscellaneous assemblers and fabricators,Line item,1467.1,1465.9,-1.3,-0.1,156.3,42210,High school diploma or equivalent,nan,Moderate-term on-the-job training,HS or less
1. Materials & Processing,51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,2021,1220.0,0.017168589924007882,"        Extruding and drawing machine setters, operators, and tenders, metal and plastic",Line item,66.0,66.8,0.8,1.2,6.5,46980,High school diploma or equivalent,nan,Moderate-term on-the-job training,HS or less
1. Materials & Processing,51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,2021,880.0,0.01238390092879257,"        Rolling machine setters, operators, and tenders, metal and plastic",Line item,22.5,20.6,-1.9,-8.3,1.9,48630,High school diploma or equivalent,nan,Moderate-term on-the-job training,HS or less
1. Materials & Processing,51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,2021,1200.0,0.016887137630171686,"        Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",Line item,174.7,153.6,-21.1,-12.1,14.4,45590,High school diploma or equivalent,nan,Moderate-term on-the-job training,HS or less
1. Materials & Processing,51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,2021,500.0,0.007036307345904869,"        Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",Line item,70.1,61.7,-8.4,-12.0,5.5,45190,High school diploma or equivalent,nan,Moderate-term on-the-job training,HS or less
